"","FTSE China A50 (FTXIN9)_history.csv Date","FTSE China A50 (FTXIN9)_history.csv Price","FTSE China A50 (FTXIN9)_history.csv Open","FTSE China A50 (FTXIN9)_history.csv High","FTSE China A50 (FTXIN9)_history.csv Low","FTSE China A50 (FTXIN9)_history.csv Volume"
"47",2010-07-27,9037.35,9093.15,9093.15,9009.01,
"48",2010-07-28,9247.49,9037.35,9252.97,9018.87,
"49",2010-07-29,9283.68,9247.49,9320.3,9221.21,
"50",2010-07-30,9252.64,9283.68,9283.68,9190.75,
"51",2010-08-02,9386.76,9252.64,9406.19,9236.34,
"52",2010-08-03,9229.21,9386.76,9420.47,9227.51,
"53",2010-08-04,9234.29,9229.21,9263.16,9089.16,
"54",2010-08-05,9123.37,9234.29,9234.29,9082.33,
"55",2010-08-06,9231.25,9123.37,9238.08,9033.4,
"56",2010-08-09,9258.15,9231.25,9287.08,9185.16,
"57",2010-08-10,9023.06,9258.15,9268.28,9020.22,
"58",2010-08-11,9048.83,9023.06,9096.11,8995.57,
"59",2010-08-12,8936.99,9048.83,9063.2,8919.65,
"60",2010-08-13,9023.99,8936.99,9028.1,8882.52,
"61",2010-08-16,9216.96,9023.99,9233.95,8975.66,
"62",2010-08-17,9261.2,9216.96,9290.15,9193.38,
"63",2010-08-18,9237.49,9261.2,9334.87,9226.6,
"64",2010-08-19,9305.98,9237.49,9358.24,9217.43,
"65",2010-08-20,9189.52,9305.98,9331.58,9175.34,
"66",2010-08-23,9181.02,9189.52,9266.86,9158.98,
"67",2010-08-24,9194.23,9181.02,9270.28,9083.19,
"68",2010-08-25,9005.08,9194.23,9194.23,9000.64,
"69",2010-08-26,9008.93,9005.08,9078.21,8976.58,
"70",2010-08-27,9027.69,9008.93,9032.1,8959.33,
"71",2010-08-30,9150.49,9027.69,9180.77,9027.69,
"72",2010-08-31,9073.02,9150.49,9150.49,9046.64,
"73",2010-09-01,9050.77,9073.02,9189.3,8989.9,
"74",2010-09-02,9147.39,9050.77,9199.58,9050.77,
"75",2010-09-03,9118.01,9147.39,9161.52,9044.84,
"76",2010-09-06,9329.07,9118.01,9337.81,9118.01,
"77",2010-09-07,9317.94,9329.07,9361.12,9266.95,
"78",2010-09-08,9231.75,9317.94,9317.94,9183.1,
"79",2010-09-09,9048.26,9231.75,9241.39,9032.96,
"80",2010-09-10,9040.95,9048.26,9086.2,8949.26,
"81",2010-09-13,9081.2,9040.95,9144.45,8996.48,
"82",2010-09-14,9096.95,9081.2,9154.01,9071.56,
"83",2010-09-15,8941.13,9096.95,9098.76,8924.6,
"84",2010-09-16,8777.69,8941.13,8956.67,8711.89,
"85",2010-09-17,8774.42,8777.69,8829.04,8744.32,
"86",2010-09-20,8796.71,8774.42,8858.58,8715.41,
"87",2010-09-21,8827.9,8796.71,8868.3,8796.71,
"88",2010-09-27,8891.62,8827.9,8897.69,8812.78,
"89",2010-09-28,8792.53,8891.62,8891.62,8781.21,
"90",2010-09-29,8814.83,8792.53,8912.97,8770.26,
"91",2010-09-30,8994.55,8814.83,9001.34,8750.47,
"92",2010-10-08,9337.46,8994.55,9374.58,8994.55,
"93",2010-10-11,9676.06,9337.46,9746.45,9337.46,
"94",2010-10-12,9770.73,9676.06,9774.51,9589.2,
"95",2010-10-13,9925.17,9770.73,9928.37,9748.91,
"96",2010-10-14,10042.63,9925.17,10260.87,9925.17,
"97",2010-10-15,10443.04,10042.63,10448.32,9971.04,
"98",2010-10-18,10424.41,10443.04,10726.8,10391.74,
"99",2010-10-19,10595.56,10424.41,10595.56,10317.5,
"100",2010-10-20,10680.67,10595.56,10827.42,10435.94,
"101",2010-10-21,10480.29,10680.67,10695.5,10411.68,
"102",2010-10-22,10436.82,10480.29,10544.74,10350.59,
"103",2010-10-25,10722.21,10436.82,10724.62,10346.75,
"104",2010-10-26,10603.17,10722.21,10775.7,10537.26,
"105",2010-10-27,10396.82,10603.17,10708.82,10382.97,
"106",2010-10-28,10397.37,10396.82,10456.25,10307.37,
"107",2010-10-29,10235.73,10397.37,10403.65,10184.84,
"108",2010-11-01,10421.56,10235.73,10428.51,10235.73,
"109",2010-11-02,10367.15,10421.56,10528.89,10266.73,
"110",2010-11-03,10378.47,10367.15,10518.55,10237.12,
"111",2010-11-04,10501.06,10378.47,10515.32,10378.26,
"112",2010-11-05,10581.86,10501.06,10695.05,10501.06,
"113",2010-11-08,10619.22,10581.86,10661.62,10538.98,
"114",2010-11-09,10454.8,10619.22,10623.65,10399.49,
"115",2010-11-10,10338.64,10454.8,10454.8,10270.77,
"116",2010-11-11,10447.43,10338.64,10569.02,10297.63,
"117",2010-11-12,9889.34,10447.43,10447.43,9870.77,
"118",2010-11-15,9906.24,9889.34,9954.08,9710.19,
"119",2010-11-16,9494.44,9906.24,9906.24,9465.45,
"120",2010-11-17,9410.4,9494.44,9552.63,9357.67,
"121",2010-11-18,9506.23,9410.4,9538.19,9390.4,
"122",2010-11-19,9524.99,9506.23,9567.83,9252.51,
"123",2010-11-22,9459.05,9524.99,9558.22,9404.62,
"124",2010-11-23,9294.61,9459.05,9459.05,9191.41,
"125",2010-11-24,9448.37,9294.61,9498.39,9264.18,
"126",2010-11-25,9566.17,9448.37,9582.74,9386.3,
"127",2010-11-26,9469.46,9566.17,9566.17,9416.73,
"128",2010-11-29,9449.07,9469.46,9505.23,9377.58,
"129",2010-11-30,9301.29,9449.07,9483.98,9140.56,
"130",2010-12-01,9305.57,9301.29,9345.09,9239.03,
"131",2010-12-02,9385.51,9305.57,9480.03,9305.57,
"132",2010-12-03,9428.25,9385.51,9469.36,9375.12,
"133",2010-12-06,9534.97,9428.25,9575.37,9428.25,
