"","US SmallCap 2000 (US2000)_history.csv Date","US SmallCap 2000 (US2000)_history.csv Price","US SmallCap 2000 (US2000)_history.csv Open","US SmallCap 2000 (US2000)_history.csv High","US SmallCap 2000 (US2000)_history.csv Low","US SmallCap 2000 (US2000)_history.csv Volume"
"84",2009-05-04,506.82,489.95,506.82,489.95,"-"
"85",2009-05-05,502.55,504.82,505.99,497.06,"-"
"86",2009-05-06,505.09,503.34,509.37,495.94,"-"
"87",2009-05-07,492.94,505.33,511.28,489.2,"-"
"88",2009-05-08,511.82,496.76,511.82,496.66,"-"
"89",2009-05-11,501.94,507.15,507.15,498.65,"-"
"90",2009-05-12,495.18,504.19,506.52,487.6,"-"
"91",2009-05-13,471.82,490.52,490.52,471.82,"-"
"92",2009-05-14,480.71,472.76,486.29,470.37,"-"
"93",2009-05-15,475.84,480.96,483.73,472.87,"-"
"94",2009-05-18,494.79,478.94,495.02,478.94,"-"
"95",2009-05-19,493.26,494.75,498.31,488.48,"-"
"96",2009-05-20,489.35,494.62,505.59,488.47,"-"
"97",2009-05-21,481.22,486.74,486.74,474.5,"-"
"98",2009-05-22,477.62,482.69,485.05,477.51,"-"
"99",2009-05-26,500.31,477.62,500.34,475.98,"-"
"100",2009-05-27,489.86,498.78,502.62,489.86,"-"
"101",2009-05-28,492.21,489.94,495.54,481.03,"-"
"102",2009-05-29,501.58,493.07,501.58,491.17,"-"
"103",2009-06-01,521.33,504.57,522.37,504.57,"-"
"104",2009-06-02,526.63,521.33,528.72,516.89,"-"
"105",2009-06-03,522.71,524.6,524.6,516.69,"-"
"106",2009-06-04,531.68,524.12,531.68,520.52,"-"
"107",2009-06-05,530.36,534.18,535.86,526.51,"-"
"108",2009-06-08,524.79,528.42,531.09,520.07,"-"
"109",2009-06-09,527.93,526.48,531.43,525.63,"-"
"110",2009-06-10,523.71,528.82,532.3,515.99,"-"
"111",2009-06-11,526.08,524.49,532.9,524.43,"-"
"112",2009-06-12,526.83,524.27,526.84,518.7,"-"
