"","Bovespa (BVSP)_history.csv Date","Bovespa (BVSP)_history.csv Price","Bovespa (BVSP)_history.csv Open","Bovespa (BVSP)_history.csv High","Bovespa (BVSP)_history.csv Low","Bovespa (BVSP)_history.csv Volume"
"76",2009-04-23,45801.17,44887.64,45803.68,44887.64,"1240000"
"77",2009-04-24,46771.79,45801.11,46946.07,45801.11,"1530000"
"78",2009-04-27,45819.71,46771.53,46771.53,45662.17,"1690000"
"79",2009-04-28,45821.44,45819.29,46137.61,44965.82,"1790000"
"80",2009-04-29,47226.79,45825.05,47410.04,45825.05,"2050000"
"81",2009-04-30,47289.53,47235,48125.73,47235,"2140000"
"82",2009-05-04,50404.53,47289.53,50404.53,47289.53,"2500000"
"83",2009-05-05,50669.78,50403.88,50909.36,50013.1,"1950000"
"84",2009-05-06,51499.48,50675.11,52095.85,50671.84,"2470000"
"85",2009-05-07,50058.06,51499.05,52078.59,49742.55,"2030000"
"86",2009-05-08,51395.99,50065.58,51395.99,50050.81,"1690000"
"87",2009-05-11,50976.39,51388.8,51388.8,50059.98,"1290000"
"88",2009-05-12,50325.78,50979.77,51564.81,49807.8,"1850000"
"89",2009-05-13,48679.19,50316.88,50316.88,48430.04,"1710000"
"90",2009-05-14,49446.02,48670.86,49460.6,48283.78,"1420000"
"91",2009-05-15,49007.21,49446.97,49552.07,48796.01,"1510000"
"92",2009-05-18,51463.02,49011.98,51489.52,49011.98,"1730000"
"93",2009-05-19,51346.61,51465.13,52145.12,50987.25,"2e+06"
"94",2009-05-20,51245.09,51348.75,52640.38,51142.88,"2060000"
"95",2009-05-21,50087.33,51244.04,51244.04,49565.26,"1680000"
"96",2009-05-22,50568.49,50089.06,50893.03,49989.19,"1310000"
"97",2009-05-25,50816.24,50558.47,50968.65,50558.47,"490960"
"98",2009-05-26,51840.8,50817.29,51933.94,50073.57,"1460000"
"99",2009-05-27,51791.61,51840.43,53092.36,51636.55,"1730000"
"100",2009-05-28,53040.74,51795.15,53040.74,51795.15,"1520000"
"101",2009-05-29,53197.73,53046.59,53805.93,52431.83,"2840000"
"102",2009-06-01,54486.29,53202.37,54857,53202.37,"1800000"
"103",2009-06-02,53999.52,54486.33,54955.23,53850.22,"1920000"
"104",2009-06-03,52086.63,53999.01,54000.51,51643.28,"2040000"
"105",2009-06-04,53463.9,52093.86,53463.9,51745.33,"1400000"
"106",2009-06-05,53341.01,53474.08,54626.55,53050.18,"1440000"
"107",2009-06-08,53630.39,53340.17,53904.98,52482.51,"1180000"
