"","Dow Jones Industrial Average (DJI)_history.csv Date","Dow Jones Industrial Average (DJI)_history.csv Price","Dow Jones Industrial Average (DJI)_history.csv Open","Dow Jones Industrial Average (DJI)_history.csv High","Dow Jones Industrial Average (DJI)_history.csv Low","Dow Jones Industrial Average (DJI)_history.csv Volume"
"43",2009-03-05,6594.44,6874.01,6874.01,6531.28,"-"
"44",2009-03-06,6626.94,6595.16,6776.44,6443.27,"-"
"45",2009-03-09,6547.05,6625.74,6758.44,6440.08,"-"
"46",2009-03-10,6926.49,6547.01,6951.5,6547.01,"-"
"47",2009-03-11,6930.4,6923.13,7078.22,6804.55,"-"
"48",2009-03-12,7170.06,6932.39,7198.25,6840.79,"-"
"49",2009-03-13,7223.98,7219.2,7241.98,7106.34,"-"
"50",2009-03-16,7216.97,7225.33,7428.75,7171.41,"-"
"51",2009-03-17,7395.7,7218,7407.41,7129.6,"-"
"52",2009-03-18,7486.58,7395.7,7592.03,7218.24,"-"
"53",2009-03-19,7400.8,7489.68,7624.45,7325.13,"-"
"54",2009-03-20,7278.38,7402.31,7524.81,7215.77,"-"
"55",2009-03-23,7775.86,7279.25,7789.24,7279.25,"-"
"56",2009-03-24,7660.21,7773.47,7837.11,7585.98,"-"
"57",2009-03-25,7749.81,7659.81,7897.48,7539.54,"-"
"58",2009-03-26,7924.56,7752.36,7969,7709.19,"-"
"59",2009-03-27,7776.18,7922.57,7922.57,7695.97,"-"
"60",2009-03-30,7522.02,7773.31,7773.31,7406.85,"-"
"61",2009-03-31,7608.92,7523.77,7744.24,7502.98,"-"
"62",2009-04-01,7761.6,7606.13,7804.77,7450.74,"-"
"63",2009-04-02,7978.08,7763.99,8129.33,7763.99,"-"
"64",2009-04-03,8017.59,7980.63,8090.71,7850.33,"-"
"65",2009-04-06,7975.85,8016.16,8037.42,7830.66,"-"
"66",2009-04-07,7789.56,7968.92,7968.92,7733.56,"-"
"67",2009-04-08,7837.11,7788.68,7925.36,7715.09,"-"
"68",2009-04-09,8083.38,7839.89,8150.44,7839.89,"-"
"69",2009-04-13,8057.81,8082.02,8146.86,7888.96,"-"
"70",2009-04-14,7920.18,8057.41,8076.05,7840.53,"-"
"71",2009-04-15,8029.62,7914.92,8069.92,7808.19,"-"
"72",2009-04-16,8125.43,8029.14,8201.81,7933.08,"-"
"73",2009-04-17,8131.33,8125.43,8251.2,8024.92,"-"
"74",2009-04-20,7841.73,8128.94,8128.94,7801.58,"-"
"75",2009-04-21,7969.56,7841.73,8027.54,7699.79,"-"
"76",2009-04-22,7886.57,7964.78,8111.02,7802.46,"-"
"77",2009-04-23,7957.06,7886.81,8015.36,7762.8,"-"
"78",2009-04-24,8076.29,7957.45,8182.3,7905.6,"-"
"79",2009-04-27,8025,8073.82,8152.27,7920.42,"-"
"80",2009-04-28,8016.95,8023.56,8136.74,7898.75,"-"
"81",2009-04-29,8185.73,8018.31,8278.12,8018.31,"-"
"82",2009-04-30,8168.12,8188.51,8383.81,8083.62,"-"
"83",2009-05-01,8212.41,8167.41,8278.28,8047.54,"-"
"84",2009-05-04,8426.74,8213.6,8488.87,8213.6,"-"
"85",2009-05-05,8410.65,8425.55,8520.8,8321.37,"-"
"86",2009-05-06,8512.28,8403.48,8608.26,8350.12,"-"
"87",2009-05-07,8409.85,8513.56,8651.51,8296.04,"-"
"88",2009-05-08,8574.65,8410.73,8657.96,8388.11,"-"
"89",2009-05-11,8418.77,8569.23,8569.23,8347.41,"-"
"90",2009-05-12,8469.11,8419.17,8574.88,8306.47,"-"
"91",2009-05-13,8284.89,8461.8,8461.8,8208.74,"-"
"92",2009-05-14,8331.32,8285.92,8427.93,8218.94,"-"
"93",2009-05-15,8268.64,8326.22,8422.28,8206.67,"-"
"94",2009-05-18,8504.08,8270.15,8534.66,8270.15,"-"
"95",2009-05-19,8474.85,8502.48,8594.16,8402.61,"-"
