"","Nikkei 225 (N225)_history.csv Date","Nikkei 225 (N225)_history.csv Price","Nikkei 225 (N225)_history.csv Open","Nikkei 225 (N225)_history.csv High","Nikkei 225 (N225)_history.csv Low","Nikkei 225 (N225)_history.csv Volume"
"141",2009-07-30,10165.21,10155.71,10169.68,10067.51,
"142",2009-07-31,10356.83,10275.14,10359.07,10259.57,
"143",2009-08-03,10352.47,10355.23,10380.57,10322,
"144",2009-08-04,10375.01,10438.4,10479.19,10358.48,
"145",2009-08-05,10252.53,10405.05,10406.1,10252.53,
"146",2009-08-06,10388.09,10266.01,10426.14,10266.01,
"147",2009-08-07,10412.09,10365.71,10412.09,10249.04,
"148",2009-08-10,10524.26,10530.62,10585.37,10487.7,
"149",2009-08-11,10585.46,10514.74,10587.36,10512.21,
"150",2009-08-12,10435,10486.36,10526.35,10434.09,
"151",2009-08-13,10517.19,10508.09,10556.28,10489.12,
"152",2009-08-14,10597.33,10551.33,10630.38,10539.43,
"153",2009-08-17,10268.61,10521.02,10521.02,10268.61,
"154",2009-08-18,10284.96,10208.12,10325.06,10181.1,
"155",2009-08-19,10204,10269.97,10327.17,10195.11,
"156",2009-08-20,10383.41,10254.53,10407.3,10204.26,
"157",2009-08-21,10238.2,10375.22,10375.22,10142.22,
"158",2009-08-24,10581.05,10389.57,10591,10388.78,
"159",2009-08-25,10497.36,10515.57,10566.31,10469.69,
"160",2009-08-26,10639.71,10554.44,10668.74,10526.51,
"161",2009-08-27,10473.97,10570.78,10575.79,10400.83,
"162",2009-08-28,10534.14,10546.88,10560.44,10471.63,
"163",2009-08-31,10492.53,10608.16,10767,10423.9,
"164",2009-09-01,10530.06,10453.37,10577.19,10438.51,
"165",2009-09-02,10280.46,10378.08,10378.08,10215.6,
"166",2009-09-03,10214.64,10240.02,10290.83,10185.38,
"167",2009-09-04,10187.11,10256.49,10256.49,10143.26,
"168",2009-09-07,10320.94,10288.56,10326.45,10274.38,
"169",2009-09-08,10393.23,10353.51,10393.23,10300.5,
"170",2009-09-09,10312.14,10343.8,10390.25,10249.11,
"171",2009-09-10,10513.67,10385.35,10521.14,10382.99,
"172",2009-09-11,10444.33,10519.33,10522.23,10407.97,
"173",2009-09-14,10202.06,10388.32,10388.32,10170.74,
"174",2009-09-15,10217.62,10255.73,10292.47,10183.3,
"175",2009-09-16,10270.77,10288.72,10394.56,10247.24,
"176",2009-09-17,10443.8,10373.25,10443.8,10340.14,
"177",2009-09-18,10370.54,10379.21,10399.42,10292.5,
"178",2009-09-24,10544.22,10405.53,10566.98,10386.88,
"179",2009-09-25,10265.98,10395.45,10395.45,10228.6,
"180",2009-09-28,10009.52,10136.24,10151.6,9971.05,
"181",2009-09-29,10100.2,10089.11,10125.88,10059.87,
"182",2009-09-30,10133.23,10105.17,10138.04,10063.69,
"183",2009-10-01,9978.64,10072.64,10077.22,9965.06,
"184",2009-10-02,9731.87,9848.07,9852.17,9714.18,
"185",2009-10-05,9674.49,9733.07,9751.56,9669.31,
"186",2009-10-06,9691.8,9744.42,9744.42,9628.67,
"187",2009-10-07,9799.6,9750.24,9821.74,9735.68,
"188",2009-10-08,9832.47,9806.03,9863.34,9746.15,
"189",2009-10-09,10016.39,9893.63,10016.39,9857.39,
"190",2009-10-13,10076.56,10066.85,10116.72,10039.62,
"191",2009-10-14,10060.21,10096.01,10096.01,10016.24,
"192",2009-10-15,10238.65,10194.91,10272.62,10184.81,
"193",2009-10-16,10257.56,10276.4,10290.31,10216.14,
"194",2009-10-19,10236.51,10179.46,10264.44,10125.33,
"195",2009-10-20,10336.84,10329.3,10357.59,10307.59,
"196",2009-10-21,10333.39,10292.39,10350.45,10292.39,
"197",2009-10-22,10267.17,10251.09,10274.61,10159.66,
"198",2009-10-23,10282.99,10335.34,10364.17,10271.71,
"199",2009-10-26,10362.62,10271.84,10397.69,10250.84,
"200",2009-10-27,10212.46,10283.46,10290.92,10201.93,
"201",2009-10-28,10075.05,10182.14,10209.2,10060.39,
"202",2009-10-29,9891.1,9941.57,9945.41,9850.12,
"203",2009-10-30,10034.74,10006.84,10049.59,9984.33,
"204",2009-11-02,9802.95,9903.77,9904.61,9736.14,
"205",2009-11-04,9844.31,9785.28,9845,9767.91,
"206",2009-11-05,9717.44,9803.5,9825.82,9691.69,
"207",2009-11-06,9789.35,9812.73,9849.72,9767,
"208",2009-11-09,9808.99,9777.64,9845.9,9731.59,
"209",2009-11-10,9870.73,9904.68,9979.46,9857.1,
"210",2009-11-11,9871.68,9890.18,9949.71,9849.99,
"211",2009-11-12,9804.49,9921.45,9943.57,9788.49,
"212",2009-11-13,9770.31,9793.19,9805.2,9719.38,
"213",2009-11-16,9791.18,9784.14,9802.53,9725.81,
"214",2009-11-17,9729.93,9834.58,9847.64,9715.28,
"215",2009-11-18,9676.8,9723.23,9788.81,9631.83,
"216",2009-11-19,9549.47,9691.86,9691.86,9496.07,
"217",2009-11-20,9497.68,9460.21,9513.6,9423.66,
"218",2009-11-24,9401.58,9511,9511,9397.79,
"219",2009-11-25,9441.64,9381.9,9453.7,9366.33,
"220",2009-11-26,9383.24,9354.8,9457.24,9324.99,
"221",2009-11-27,9081.52,9257.2,9257.2,9076.41,
"222",2009-11-30,9345.55,9189.17,9353.74,9162.18,
"223",2009-12-01,9572.2,9281.82,9572.2,9233.2,
"224",2009-12-02,9608.94,9551.79,9643.32,9514.15,
"225",2009-12-03,9977.67,9707.02,9977.67,9707.02,
"226",2009-12-04,10022.59,10019.24,10022.59,9902.83,
"227",2009-12-07,10167.6,10131.9,10204.58,10106.31,
"228",2009-12-08,10140.47,10079.81,10149.32,10079.81,
"229",2009-12-09,10004.72,10048.94,10048.94,9985.97,
"230",2009-12-10,9862.82,9964.05,10035.92,9834.22,
"231",2009-12-11,10107.87,9958,10107.87,9916.21,
"232",2009-12-14,10105.68,10126.61,10126.61,10009.6,
"233",2009-12-15,10083.48,10053.45,10111.76,10033.9,
"234",2009-12-16,10177.41,10179.33,10222.22,10117.12,
"235",2009-12-17,10163.8,10199.92,10260.12,10163.8,
"236",2009-12-18,10142.05,10110.64,10157.25,10027.85,
"237",2009-12-21,10183.47,10196.71,10215.49,10183.47,
"238",2009-12-22,10378.03,10256,10378.03,10235.22,
"239",2009-12-24,10536.92,10413.37,10558.41,10413.37,
"240",2009-12-25,10494.71,10546.97,10546.97,10476.65,
"241",2009-12-28,10634.23,10521.81,10652.99,10513.55,
"242",2009-12-29,10638.06,10611.85,10683.12,10597.41,
"243",2009-12-30,10546.44,10707.51,10707.51,10546.44,
"244",2010-01-04,10654.79,10609.34,10694.49,10608.14,
"245",2010-01-05,10681.83,10719.44,10791.04,10655.57,
"246",2010-01-06,10731.45,10709.55,10768.61,10661.17,
"247",2010-01-07,10681.66,10742.75,10774,10636.67,
"248",2010-01-08,10798.32,10743.3,10816.45,10677.56,
"249",2010-01-12,10879.14,10770.35,10905.39,10763.68,
"250",2010-01-13,10735.03,10795.48,10866.62,10729.86,
"251",2010-01-14,10907.68,10778.07,10909.94,10774.25,
"252",2010-01-15,10982.1,10917.41,10982.1,10878.83,
"253",2010-01-18,10855.08,10887.61,10895.1,10781.03,
"254",2010-01-19,10764.9,10866.83,10866.83,10749.47,
"255",2010-01-20,10737.52,10834.91,10860.93,10724.57,
"256",2010-01-21,10868.41,10704.79,10886.64,10649.84,
"257",2010-01-22,10590.55,10740.21,10768.07,10528.33,
"258",2010-01-25,10512.69,10478.31,10557.64,10414.58,
"259",2010-01-26,10325.28,10506.15,10566.49,10324.98,
"260",2010-01-27,10252.08,10344.07,10373.82,10252.08,
"261",2010-01-28,10414.29,10309.73,10462.7,10296.98,
"262",2010-01-29,10198.04,10308.05,10324.37,10198.04,
"263",2010-02-01,10205.02,10212.36,10224.83,10129.91,
"264",2010-02-02,10371.09,10310.98,10396.48,10287.74,
"265",2010-02-03,10404.33,10428.12,10436.52,10356.03,
"266",2010-02-04,10355.98,10434.52,10438.41,10279.57,
"267",2010-02-05,10057.09,10162.34,10166.3,10036.33,
"268",2010-02-08,9951.82,10007.47,10063.53,9942.05,
"269",2010-02-09,9932.9,9876.61,9956.79,9867.39,
"270",2010-02-10,9963.99,10024.26,10049.87,9963.99,
"271",2010-02-12,10092.19,10085.35,10099.46,10014.5,
"272",2010-02-15,10013.3,10097.82,10119.47,10012.53,
"273",2010-02-16,10034.25,10044.53,10062.27,10019.43,
