"","Nifty 50 (NSEI)_history.csv Date","Nifty 50 (NSEI)_history.csv Price","Nifty 50 (NSEI)_history.csv Open","Nifty 50 (NSEI)_history.csv High","Nifty 50 (NSEI)_history.csv Low","Nifty 50 (NSEI)_history.csv Volume"
"65",2009-04-13,3382.6,3342.2,3417.8,3334.15,"331530000"
"66",2009-04-15,3484.15,3381.45,3497.55,3311.8,"458490000"
"67",2009-04-16,3369.5,3484.35,3511.25,3354.2,"559550000"
"68",2009-04-17,3384.4,3369.5,3489.85,3359.25,"491160000"
"69",2009-04-20,3377.1,3384.75,3441.1,3339.45,"341800000"
"70",2009-04-21,3365.3,3376.85,3414.7,3309.35,"344670000"
"71",2009-04-22,3330.3,3364.6,3401.1,3296.9,"327290000"
"72",2009-04-23,3423.7,3330.5,3439.9,3310.5,"312630000"
"73",2009-04-24,3480.75,3423.6,3491.35,3402.9,"306130000"
"74",2009-04-27,3470,3481.3,3517.25,3435.3,"315940000"
"75",2009-04-28,3362.35,3469.5,3471.95,3351.5,"287140000"
"76",2009-04-29,3473.95,3371.65,3486.4,3366.7,"483580000"
"77",2009-05-04,3654,3478.7,3664.5,3478.7,"363870000"
"78",2009-05-05,3661.9,3664.5,3682.2,3618.75,"442070000"
"79",2009-05-06,3625.05,3662,3717.05,3608.65,"408100000"
"80",2009-05-07,3683.9,3617.15,3692.05,3617.15,"326300000"
"81",2009-05-08,3620.7,3681.8,3711.25,3582.85,"291290000"
"82",2009-05-11,3554.6,3615.75,3660.2,3534.55,"285340000"
"83",2009-05-12,3681.1,3554.65,3691.65,3534.2,"366060000"
"84",2009-05-13,3635.25,3668.75,3709.6,3610.2,"354310000"
"85",2009-05-14,3593.45,3631.9,3631.9,3537.6,"288150000"
"86",2009-05-15,3671.65,3597.85,3686.25,3597.85,"300880000"
"87",2009-05-18,4323.15,3673.15,4384.3,3673.15,"2770000"
"88",2009-05-19,4318.45,4324.95,4509.4,4167.65,"670980000"
"89",2009-05-20,4270.3,4318.75,4362.85,4244.7,"471340000"
"90",2009-05-21,4210.9,4270.35,4319,4199.2,"353070000"
"91",2009-05-22,4238.5,4211.85,4249.5,4155.85,"284160000"
"92",2009-05-25,4237.55,4238.1,4270.05,4205.1,"299300000"
"93",2009-05-26,4116.7,4239.55,4256.05,4092.25,"308740000"
"94",2009-05-27,4276.05,4117.3,4286.45,4115.25,"353500000"
"95",2009-05-28,4337.1,4276.15,4354.85,4254.85,"460440000"
"96",2009-05-29,4448.95,4340.75,4488.05,4340.75,"506800000"
"97",2009-06-01,4529.9,4450.4,4545.4,4450.4,"464260000"
"98",2009-06-02,4525.25,4530.45,4586.4,4451.3,"396330000"
"99",2009-06-03,4530.7,4525.5,4574.9,4478.6,"415830000"
"100",2009-06-04,4572.65,4530.3,4582.2,4453.45,"424050000"
"101",2009-06-05,4586.9,4573.3,4636.85,4561.95,"409910000"
"102",2009-06-08,4429.9,4582.35,4611.4,4404.65,"370090000"
"103",2009-06-09,4550.95,4427.75,4562.45,4365.1,"414280000"
"104",2009-06-10,4655.25,4551.7,4688.95,4551.7,"392190000"
"105",2009-06-11,4637.7,4657.4,4679.55,4586.15,"391600000"
"106",2009-06-12,4583.4,4637.55,4693.2,4566.15,"351580000"
"107",2009-06-15,4484,4584.65,4601.05,4469.6,"322450000"
"108",2009-06-16,4517.8,4478.1,4537.95,4405.95,"320010000"
