"","CSE All-Share (CSE)_history.csv Date","CSE All-Share (CSE)_history.csv Price","CSE All-Share (CSE)_history.csv Open","CSE All-Share (CSE)_history.csv High","CSE All-Share (CSE)_history.csv Low","CSE All-Share (CSE)_history.csv Volume"
"45",2009-03-12,1634.25,1637.92,1646.12,1630.27,"2550000"
"46",2009-03-13,1632.87,1634.25,1642.4,1631.09,"6870000"
"47",2009-03-16,1619.82,1632.87,1637.82,1619.82,"2580000"
"48",2009-03-17,1612.33,1619.82,1620.21,1609.17,"3220000"
"49",2009-03-18,1618.84,1612.33,1631.85,1612.33,"20100000"
"50",2009-03-19,1626.05,1618.84,1633.59,1618.76,"5220000"
"51",2009-03-20,1621.81,1626.05,1629.78,1619.64,"2470000"
"52",2009-03-23,1627.91,1621.81,1635.4,1621.52,"16780000"
"53",2009-03-24,1625.48,1627.91,1644.43,1625.48,"5210000"
"54",2009-03-25,1637.23,1625.48,1647.13,1625.36,"38100000"
"55",2009-03-26,1636.96,1637.23,1645.42,1635.85,"10110000"
"56",2009-03-27,1648.44,1636.96,1653.28,1636.63,"4210000"
"57",2009-03-30,1644.59,1648.44,1648.62,1637.49,"6360000"
"58",2009-03-31,1638.06,1644.59,1644.59,1632.65,"3850000"
"59",2009-04-01,1639.76,1638.06,1646.13,1637.42,"5720000"
"60",2009-04-02,1636.33,1639.76,1650.48,1634.83,"6780000"
"61",2009-04-03,1637.19,1636.33,1640.67,1633.1,"2080000"
"62",2009-04-06,1652.8,1637.19,1660.62,1637.19,"2070000"
"63",2009-04-07,1675.21,1652.8,1685.94,1648.38,"10720000"
"64",2009-04-08,1676.18,1675.21,1684.6,1671.51,"3500000"
"65",2009-04-15,1683.44,1676.18,1694.11,1676.18,"2990000"
"66",2009-04-16,1691.98,1683.44,1700.66,1683.44,"2370000"
"67",2009-04-17,1725.29,1691.98,1728.39,1691.98,"3750000"
"68",2009-04-20,1744.14,1725.29,1758.83,1722.85,"6960000"
"69",2009-04-21,1753.94,1744.14,1767.55,1744.14,"7950000"
"70",2009-04-22,1777.58,1753.94,1782.04,1753.94,"10050000"
"71",2009-04-23,1810,1777.58,1816.22,1777.58,"17460000"
"72",2009-04-24,1845.03,1810,1855.58,1810,"12460000"
"73",2009-04-27,1812.35,1845.03,1856.48,1807.4,"7250000"
"74",2009-04-28,1797.85,1812.35,1820.71,1791.58,"3200000"
"75",2009-04-29,1826.37,1797.85,1833.86,1797.82,"4830000"
"76",2009-04-30,1838.45,1826.37,1842.41,1816.55,"2850000"
"77",2009-05-04,1841.91,1838.45,1849.85,1838.45,"4410000"
"78",2009-05-05,1868.65,1841.91,1876.17,1841.63,"7350000"
"79",2009-05-06,1893.32,1868.65,1898.68,1868.65,"10610000"
"80",2009-05-07,1896.01,1893.32,1903.69,1889.92,"8800000"
"81",2009-05-11,1900.09,1896.01,1910.93,1896.01,"5810000"
"82",2009-05-12,1888.62,1900.09,1900.71,1875.9,"5760000"
"83",2009-05-13,1870.45,1888.62,1888.62,1867.88,"3800000"
"84",2009-05-14,1884.42,1870.45,1888.04,1869.44,"4420000"
"85",2009-05-15,1907.67,1884.42,1918.88,1884.36,"37210000"
"86",2009-05-18,2030.9,1907.67,2046.88,1907.67,"34230000"
"87",2009-05-19,2035.59,2030.9,2077.48,2014.65,"28660000"
"88",2009-05-21,2142.52,2035.59,2164.53,2035.59,"66550000"
"89",2009-05-22,2146.73,2142.52,2178.11,2131.63,"64370000"
"90",2009-05-25,2120.63,2146.73,2166.55,2109.92,"63100000"
