"","SMI (SSMI)_history.csv Date","SMI (SSMI)_history.csv Price","SMI (SSMI)_history.csv Open","SMI (SSMI)_history.csv High","SMI (SSMI)_history.csv Low","SMI (SSMI)_history.csv Volume"
"65",2009-04-02,5178.53,5107.01,5180.53,5098.09,"103860000"
"66",2009-04-03,5042.99,5147.91,5151.26,4996.05,"88980000"
"67",2009-04-06,5002.08,5045.22,5112.35,4944.53,"78030000"
"68",2009-04-07,4974.2,5041.64,5050.27,4960.69,"68650000"
"69",2009-04-08,4999.8,4894.4,5000.69,4884.57,"58480000"
"70",2009-04-09,5070.6,5041.34,5076.94,4953.94,"79110000"
"71",2009-04-13,5070.6,5070.6,5070.6,5070.6,
"72",2009-04-14,5099.32,5092.55,5130.52,5048.62,"101400000"
"73",2009-04-15,5065.43,5046.86,5124.16,5032.72,"80480000"
"74",2009-04-16,5163.95,5117.82,5163.95,5077.8,"81620000"
"75",2009-04-17,5192.63,5172.27,5237.48,5154.94,"122790000"
"76",2009-04-20,5065.18,5186.45,5216.45,5055.07,"81840000"
"77",2009-04-21,5076.72,5060.05,5101.15,4953.18,"86690000"
"78",2009-04-22,5063.7,4986.3,5086.6,4967.98,"106480000"
"79",2009-04-23,5023.9,5077.23,5097.09,4990.93,"101070000"
"80",2009-04-24,5113.05,5026.17,5119.11,5023.76,"76720000"
"81",2009-04-27,5175.97,5077.06,5176.35,5048.59,"67930000"
"82",2009-04-28,5109.09,5080.6,5140.94,5050.08,"76340000"
"83",2009-04-29,5152.72,5093.33,5152.81,5076.9,"82790000"
"84",2009-04-30,5225.92,5211.51,5285.77,5208.39,"103660000"
"85",2009-05-01,5225.9,5225.9,5225.9,5225.9,
"86",2009-05-04,5318.34,5274.09,5327.46,5229.53,"69520000"
"87",2009-05-05,5280.93,5319.85,5335.9,5265.16,"86170000"
"88",2009-05-06,5319.26,5273.24,5355.36,5253.35,"88060000"
"89",2009-05-07,5325.63,5345.45,5411.98,5294.03,"99520000"
"90",2009-05-08,5391.01,5368.51,5401.3,5336.9,"87040000"
"91",2009-05-11,5358.94,5378.36,5381.67,5314.26,"81970000"
"92",2009-05-12,5346.03,5319.78,5401.68,5317.7,"94170000"
"93",2009-05-13,5277.37,5371.81,5406.86,5260.19,"129030000"
"94",2009-05-14,5360,5269.21,5366.2,5219.06,"96040000"
"95",2009-05-15,5350.67,5408.5,5409.92,5306.49,"119640000"
"96",2009-05-18,5435.12,5306.77,5435.12,5268.83,"58800000"
"97",2009-05-19,5498.8,5467.06,5524.44,5467.06,"78170000"
"98",2009-05-20,5509.27,5493.82,5546.24,5472.7,"74830000"
"99",2009-05-21,5509.3,5509.3,5509.3,5509.3,
"100",2009-05-22,5409.26,5436.93,5462.88,5385.94,"56950000"
"101",2009-05-25,5446.24,5430.09,5453.09,5371.86,"26640000"
"102",2009-05-26,5431.27,5399.63,5441.67,5345.72,"65930000"
"103",2009-05-27,5419.42,5451.57,5463.11,5393.15,"62780000"
"104",2009-05-28,5350.59,5377.57,5386.21,5311.77,"56700000"
"105",2009-05-29,5349.74,5387.85,5401.45,5339.97,"88910000"
"106",2009-06-01,5349.7,5349.7,5349.7,5349.7,
