"","S&P TSX Composite (GSPTSE)_history.csv Date","S&P TSX Composite (GSPTSE)_history.csv Price","S&P TSX Composite (GSPTSE)_history.csv Open","S&P TSX Composite (GSPTSE)_history.csv High","S&P TSX Composite (GSPTSE)_history.csv Low","S&P TSX Composite (GSPTSE)_history.csv Volume"
"25",2009-02-05,8860.98,8708.05,8860.98,8607.45,"243660000"
"26",2009-02-06,9008.02,8827.09,9102,8824.68,"245330000"
"27",2009-02-09,9047.28,9055.76,9151.58,8997.44,"194100000"
"28",2009-02-10,8817.89,9084.31,9114.48,8771.75,"232530000"
"29",2009-02-11,8737.89,8840.34,8919.21,8731.15,"282020000"
"30",2009-02-12,8778.78,8698.25,8785.09,8590.49,"242730000"
"31",2009-02-13,8678.1,8797.02,8792.3,8669.15,"177560000"
"32",2009-02-17,8378.7,8630.28,8678.1,8351.94,"230620000"
"33",2009-02-18,8175.95,8419.48,8413.02,8138.98,"273960000"
"34",2009-02-19,8185.35,8234.12,8296.33,8117.41,"263960000"
"35",2009-02-20,7949.99,8103.23,8185.35,7874.9,"261800000"
"36",2009-02-23,7647.67,8014.4,8032.08,7640.84,"257610000"
"37",2009-02-24,7859.33,7674.07,7859.33,7566.32,"349880000"
"38",2009-02-25,7932.3,7885.96,8033.14,7753.85,"255040000"
"39",2009-02-26,8186.82,8052.21,8195.93,7932.3,"306890000"
"40",2009-02-27,8123.02,8061.54,8188.72,8005.09,"268430000"
"41",2009-03-02,7687.51,7997.63,8123.02,7589.66,"259170000"
"42",2009-03-03,7631.62,7752.92,7797.67,7501.12,"259560000"
"43",2009-03-04,7814.75,7857.54,7866.03,7631.62,"292500000"
"44",2009-03-05,7629.17,7734.31,7814.75,7589.84,"263630000"
"45",2009-03-06,7591.47,7686.76,7764.84,7479.96,"241500000"
"46",2009-03-09,7566.94,7527.44,7695.32,7515.01,"196930000"
"47",2009-03-10,7880.41,7699.87,7886.82,7566.94,"323570000"
"48",2009-03-11,8011.02,7922.38,8056.79,7858.41,"284730000"
"49",2009-03-12,8282.27,8027.32,8332.53,7975.01,"273300000"
"50",2009-03-13,8303.39,8359.44,8351.85,8183.79,"218640000"
"51",2009-03-16,8386.71,8289.86,8550.77,8278.93,"234870000"
"52",2009-03-17,8559.6,8434.16,8559.6,8304.57,"234230000"
"53",2009-03-18,8629.1,8460.98,8669.79,8287.69,"274610000"
"54",2009-03-19,8690.49,8797.44,8845.84,8629.1,"310970000"
"55",2009-03-20,8506.35,8708.12,8737.83,8506.35,"338240000"
"56",2009-03-23,8958.51,8765.47,8958.51,8506.35,"287220000"
"57",2009-03-24,8849.39,8825.68,8958.51,8766.65,"268010000"
"58",2009-03-25,8797.44,8890.72,8981.8,8692.56,"298050000"
"59",2009-03-26,8995.5,8939.75,9018.5,8797.44,"279140000"
"60",2009-03-27,8821.06,8894.83,8995.5,8807.2,"240940000"
"61",2009-03-30,8596.22,8605.39,8821.06,8453.09,"236760000"
"62",2009-03-31,8720.39,8673.43,8780.61,8596.22,"222850000"
"63",2009-04-01,8941.82,8647.56,8941.82,8617.28,"228010000"
"64",2009-04-02,9073.14,9093.46,9139.48,8941.82,"306830000"
"65",2009-04-03,9065.76,9107.11,9140.12,8987.73,"248890000"
"66",2009-04-06,9016.17,8963.77,9065.76,8918.98,"230340000"
"67",2009-04-07,8824.75,8940.26,9016.17,8820.2,"206400000"
"68",2009-04-08,8969.28,8819.62,8969.28,8782.69,"1.87e+08"
"69",2009-04-09,9187.12,9110.03,9187.12,8969.28,"234970000"
"70",2009-04-13,9285.62,9142.15,9310.89,9114.87,"190850000"
"71",2009-04-14,9231.62,9292.62,9330.61,9185.94,"266510000"
"72",2009-04-15,9246.11,9196.79,9251.38,9118.85,"201110000"
