"","RTSI (IRTS)_history.csv Date","RTSI (IRTS)_history.csv Price","RTSI (IRTS)_history.csv Open","RTSI (IRTS)_history.csv High","RTSI (IRTS)_history.csv Low","RTSI (IRTS)_history.csv Volume"
"135",2009-07-23,975.96,963.58,977.58,963.58,
"136",2009-07-24,1012.62,976.4,1012.62,976.4,
"137",2009-07-27,1037.61,1012.77,1043.34,1012.77,
"138",2009-07-28,1001.8,1037.61,1040.02,1000.55,
"139",2009-07-29,973.78,1001.2,1001.2,971.45,
"140",2009-07-30,1001.3,973.45,1001.3,973.45,
"141",2009-07-31,1017.47,1002.11,1021.75,1002.11,
"142",2009-08-03,1067.98,1017.8,1070.49,1017.8,
"143",2009-08-04,1074.49,1067.98,1074.58,1065.7,
"144",2009-08-05,1094.26,1074.49,1103.96,1074.49,
"145",2009-08-06,1083.79,1093.86,1098.57,1080.5,
"146",2009-08-07,1080.08,1083.79,1083.79,1047.64,
"147",2009-08-10,1065.14,1080.08,1080.08,1064.39,
"148",2009-08-11,1033.72,1065.21,1073.36,1033.32,
"149",2009-08-12,1025.12,1033.72,1033.72,996.3,
"150",2009-08-13,1054.57,1025.03,1068.42,1025.03,
"151",2009-08-14,1059.92,1054.57,1066.03,1054.57,
"152",2009-08-17,1005.77,1058.08,1058.14,1004.75,
"153",2009-08-18,1001.52,1005.77,1020.95,1001.5,
"154",2009-08-19,993.57,1002.22,1002.57,992.46,
"155",2009-08-20,1018.5,987.41,1021.36,987.41,
"156",2009-08-21,1050.44,1018.94,1050.44,1017.52,
"157",2009-08-24,1094,1050.71,1096.25,1050.71,
"158",2009-08-25,1103.02,1094,1104.94,1076.81,
"159",2009-08-26,1072.05,1103.02,1103.02,1072.05,
"160",2009-08-27,1070.49,1072.05,1078.18,1068.85,
"161",2009-08-28,1089.46,1070.49,1092.66,1070.49,
"162",2009-08-31,1066.53,1089.46,1089.46,1064.73,
"163",2009-09-01,1073.62,1066.53,1081.96,1066.53,
"164",2009-09-02,1053.17,1073.62,1073.62,1052.98,
