"","MICEX (MCX)_history.csv Date","MICEX (MCX)_history.csv Price","MICEX (MCX)_history.csv Open","MICEX (MCX)_history.csv High","MICEX (MCX)_history.csv Low","MICEX (MCX)_history.csv Volume"
"144",2009-08-05,1084.16,1099.1,1130.47,1082.35,
"145",2009-08-06,1092,1094.64,1120.82,1081.32,
"146",2009-08-07,1115.41,1088.91,1120.96,1065.91,
"147",2009-08-10,1101.19,1114.91,1118.52,1089.76,
"148",2009-08-11,1069.31,1104.22,1115.94,1067.22,
"149",2009-08-12,1086.41,1064.6,1089.1,1044.03,
"150",2009-08-13,1100.57,1093.85,1118.96,1079.57,
"151",2009-08-14,1072.74,1100.12,1107.31,1068.82,
"152",2009-08-17,1035.4,1053.99,1057.45,1030.94,
"153",2009-08-18,1035.45,1041.98,1059.3,1023.06,
"154",2009-08-19,1034.08,1037.65,1038.88,1013.82,
"155",2009-08-20,1062.87,1039.94,1063.28,1039.75,
"156",2009-08-21,1106.05,1058.93,1106.13,1046.69,
"157",2009-08-24,1120.54,1108.72,1129.19,1098.35,
"158",2009-08-25,1115.85,1113.14,1135.76,1096.79,
"159",2009-08-26,1099.77,1114.64,1123.3,1083.5,
"160",2009-08-27,1080.05,1096.53,1105.14,1075.48,
"161",2009-08-28,1111.33,1080.48,1120.01,1080.48,
"162",2009-08-31,1091.98,1103.05,1103.05,1086.21,
"163",2009-09-01,1104.98,1094.65,1112.35,1089.84,
"164",2009-09-02,1076.69,1091.53,1091.53,1069.83,
"165",2009-09-03,1093.72,1077.35,1099.5,1077.35,
"166",2009-09-04,1085.58,1097.56,1112.72,1077.24,
"167",2009-09-07,1111.92,1094.44,1112.17,1091.09,
"168",2009-09-08,1149.81,1112.47,1150.32,1112.47,
"169",2009-09-09,1159.95,1149,1163.41,1141.46,
"170",2009-09-10,1154.12,1162.83,1179.02,1143.92,
"171",2009-09-11,1175.15,1160.14,1182.9,1153.76,
"172",2009-09-14,1174.95,1171.29,1177.45,1148,
"173",2009-09-15,1203.97,1178.27,1211.06,1175.19,
"174",2009-09-16,1217.67,1209.76,1234.59,1209.46,
"175",2009-09-17,1205.12,1228.37,1241.05,1199.37,
"176",2009-09-18,1208.35,1196.9,1218.99,1187.16,
"177",2009-09-21,1165.11,1207.76,1207.76,1165.08,
"178",2009-09-22,1202.92,1169.65,1209.96,1169.65,
"179",2009-09-23,1198.83,1203.24,1228.91,1194.76,
"180",2009-09-24,1177.26,1194.1,1220.33,1176.31,
"181",2009-09-25,1187.86,1180.24,1199.09,1171.64,
"182",2009-09-28,1208.19,1187.03,1208.89,1168.48,
"183",2009-09-29,1212.75,1213.62,1218.07,1200.62,
"184",2009-09-30,1197.2,1212.83,1223.32,1193.3,
"185",2009-10-01,1211.44,1200.69,1222.74,1200.69,
"186",2009-10-02,1175.83,1205.09,1205.09,1144.84,
"187",2009-10-05,1178.17,1176.89,1186.99,1167.77,
"188",2009-10-06,1220.45,1178.22,1220.69,1178.22,
