"","Shanghai Composite (SSEC)_history.csv Date","Shanghai Composite (SSEC)_history.csv Price","Shanghai Composite (SSEC)_history.csv Open","Shanghai Composite (SSEC)_history.csv High","Shanghai Composite (SSEC)_history.csv Low","Shanghai Composite (SSEC)_history.csv Volume"
"209",2009-11-12,3172.95,3181.46,3199.87,3163.08,"138030"
"210",2009-11-13,3187.65,3164.65,3189.09,3127.5,"151150"
"211",2009-11-16,3275.05,3206.43,3275.55,3206.43,"200380"
"212",2009-11-17,3282.89,3291.04,3298.38,3275.3,"166040"
"213",2009-11-18,3303.23,3287.26,3315.87,3274.21,"158660"
"214",2009-11-19,3320.61,3311.19,3329.03,3285.8,"174620"
"215",2009-11-20,3308.35,3309.38,3332.53,3280.18,"176070"
"216",2009-11-23,3338.66,3312.97,3339.3,3305.5,"169530"
"217",2009-11-24,3223.53,3352.22,3361.39,3214.03,"250210"
"218",2009-11-25,3290.16,3214.82,3291.17,3188.02,"189030"
"219",2009-11-26,3170.98,3296.01,3305.33,3160.35,"217980"
"220",2009-11-27,3096.26,3137.3,3169.76,3080.89,"148800"
"221",2009-11-30,3195.3,3114.29,3195.88,3114.29,"138860"
"222",2009-12-01,3235.36,3191.06,3240.66,3173.42,"165280"
"223",2009-12-02,3269.75,3252.98,3278.27,3245.96,"175050"
"224",2009-12-03,3264.63,3267.99,3270.37,3227.77,"159220"
"225",2009-12-04,3317.04,3256.61,3319.13,3214.84,"215950"
"226",2009-12-07,3331.9,3313.06,3334.01,3302.13,"139880"
"227",2009-12-08,3296.66,3330.33,3330.38,3260.67,"137070"
"228",2009-12-09,3239.57,3258,3284.64,3228.2,"115100"
"229",2009-12-10,3254.26,3258.35,3276.13,3225.56,"94310"
"230",2009-12-11,3247.32,3260.45,3280.94,3242.37,"91540"
"231",2009-12-14,3302.9,3246.95,3315.03,3178.23,"118240"
"232",2009-12-15,3274.46,3283.6,3303.18,3267.93,"101490"
"233",2009-12-16,3255.21,3262.86,3299.33,3246.61,"103870"
"234",2009-12-17,3179.08,3261.61,3272.97,3176.63,"105650"
"235",2009-12-18,3113.89,3154.82,3169.58,3108.03,"101870"
"236",2009-12-21,3122.97,3108.07,3123.99,3088,"74570"
"237",2009-12-22,3050.52,3126.61,3129.31,3039.86,"85080"
"238",2009-12-23,3073.78,3048.2,3078.84,3041.35,"80060"
"239",2009-12-24,3153.41,3080.87,3156.53,3075.11,"102410"
"240",2009-12-25,3141.35,3149.23,3154.77,3128.15,"84550"
