"","FTSE MIB (FTMIB)_history.csv Date","FTSE MIB (FTMIB)_history.csv Price","FTSE MIB (FTMIB)_history.csv Open","FTSE MIB (FTMIB)_history.csv High","FTSE MIB (FTMIB)_history.csv Low","FTSE MIB (FTMIB)_history.csv Volume"
"92",2009-05-14,19271,19294,19436,18965,
"93",2009-05-15,19548,19560,19578,19175,
"94",2009-05-18,19953,18920,19953,18752,
"95",2009-05-19,20172,20226,20417,19942,
"96",2009-05-20,20525,20150,20596,20150,
"97",2009-05-21,19883,20263,20525,19796,
"98",2009-05-22,20007,19924,20200,19822,
"99",2009-05-25,19967,20065,20119,19549,
"100",2009-05-26,20297,19825,20297,19573,
"101",2009-05-27,20312,20411,20475,20189,
"102",2009-05-28,20150,20072,20329,19967,
"103",2009-05-29,19884,20346,20346,19872,
"104",2009-06-01,20511.71,19889.79,20553.02,19889.79,
"105",2009-06-02,20523.71,20511.71,20595.51,20254.32,
"106",2009-06-03,20117.66,20523.71,20600.06,20030.62,
"107",2009-06-04,20129.43,20117.66,20260.39,19984.04,
"108",2009-06-05,20170.08,20129.43,20453.04,20045.98,
"109",2009-06-08,19889.6,20170.08,20170.08,19628.89,
"110",2009-06-09,20070.63,19889.6,20208.44,19889.6,
"111",2009-06-10,20299.03,20224.64,20618.34,20224.64,
"112",2009-06-11,20585.06,20299.03,20593.16,20280.09,
"113",2009-06-12,20384.22,20585.06,20585.06,20341.28,
"114",2009-06-15,19770.49,20384.22,20384.22,19770.49,
"115",2009-06-16,19589.63,19770.49,19856.86,19470.54,
"116",2009-06-17,19023.05,19589.63,19589.63,18928.09,
"117",2009-06-18,19233.79,19023.05,19273.41,18808.13,
"118",2009-06-19,19347.98,19233.79,19447.17,19152.71,
"119",2009-06-22,18541.3,19347.97,19356.83,18541.3,
"120",2009-06-23,18464.06,18541.3,18693.8,18407.49,
"121",2009-06-24,19040.59,18464.06,19040.59,18459.31,
"122",2009-06-25,18940.63,19040.59,19040.59,18637.08,
"123",2009-06-26,18831.48,18940.63,19195.41,18766.98,
"124",2009-06-29,19096.16,18831.48,19128.43,18722.26,
"125",2009-06-30,19063.12,19096.16,19301.69,18918.07,
"126",2009-07-01,19443.18,19063.12,19480.53,19063.12,
"127",2009-07-02,18928.66,19443.18,19443.18,18928.66,
"128",2009-07-03,18942.22,18928.66,18967.7,18779.26,
"129",2009-07-06,18558.46,18942.22,18942.22,18423.21,
"130",2009-07-07,18321.28,18558.46,18790.03,18321.28,
"131",2009-07-08,17947.41,18321.28,18321.28,17916.76,
"132",2009-07-09,18158.56,17947.41,18358.02,17947.41,
"133",2009-07-10,17836.99,18158.56,18164.34,17819.25,
"134",2009-07-13,18217.47,17836.99,18217.47,17626.08,
"135",2009-07-14,18450.54,18895,19177.23,18895,
"136",2009-07-15,19130,18450.54,19130,18450.54,
"137",2009-07-16,19232.95,19130,19365.19,18962.13,
"138",2009-07-17,19282.58,19232.95,19356.25,19123.95,
"139",2009-07-20,19516.72,19282.58,19634.67,19282.58,
"140",2009-07-21,19830.29,19516.72,20007.24,19516.72,
"141",2009-07-22,19925.71,19830.29,19963.44,19625,
"142",2009-07-23,20242.31,19925.71,20242.31,19820.72,
"143",2009-07-24,20161.18,20242.31,20366.14,20087.64,
"144",2009-07-27,20346.1,20161.18,20446.73,20161.18,
"145",2009-07-28,20012.35,20346.1,20472.85,19975.39,
"146",2009-07-29,20281.97,20012.35,20404.98,19984.54,
"147",2009-07-30,20818.6,20281.97,20861.15,20281.97,
"148",2009-07-31,20575.52,20818.6,20846.2,20461.91,
"149",2009-08-03,20914.44,20575.52,21073.27,20575.52,
"150",2009-08-04,20966.87,20914.44,20995.23,20673.51,
"151",2009-08-05,20962.5,20966.87,21304.35,20895.23,
"152",2009-08-06,21128.66,20962.5,21258.15,20962.5,
"153",2009-08-07,21402.19,21128.66,21453.82,20734.89,
"154",2009-08-10,21576.57,21402.19,21592.5,21295.94,
"155",2009-08-11,21268.51,21576.57,21778.29,21222.8,
"156",2009-08-12,21546.38,21268.51,21550.53,21033.08,
"157",2009-08-13,21827.19,21546.38,21978.86,21546.38,
"158",2009-08-14,21552.39,21827.19,21994.08,21453.04,
"159",2009-08-17,20962.38,21552.39,21552.39,20921.24,
"160",2009-08-18,21247.8,20962.38,21247.8,20962.38,
"161",2009-08-19,21132.22,21247.8,21247.8,20848.23,
"162",2009-08-20,21394.4,21132.22,21500.4,21132.22,
"163",2009-08-21,21896.49,21394.4,21896.49,21352.91,
"164",2009-08-24,22354.86,21896.49,22391.6,21896.49,
"165",2009-08-25,22473.83,22354.86,22568.15,22144.94,
"166",2009-08-26,22554.65,22473.83,22707.54,22457.68,
"167",2009-08-27,22474.78,22554.65,22720.27,22357.79,
"168",2009-08-28,22672.54,22474.78,22908.99,22474.78,
"169",2009-08-31,22420.43,22672.54,22672.54,22277.65,
"170",2009-09-01,21966.19,22420.43,22609.9,21966.19,
"171",2009-09-02,21773.61,21966.19,21966.19,21530.45,
"172",2009-09-03,21936.59,21773.61,22050.95,21647.49,
"173",2009-09-04,22214.61,21936.59,22306.55,21936.59,
"174",2009-09-07,22563.33,22214.61,22591.64,22214.61,
"175",2009-09-08,22542.93,22563.33,22685.61,22434.6,
"176",2009-09-09,22802.04,22542.93,22802.04,22431.5,
"177",2009-09-10,22849.87,22802.04,23025.53,22593.88,
"178",2009-09-11,23039.35,22849.87,23133.02,22849.87,
"179",2009-09-14,23029.31,23039.35,23053.88,22645.72,
"180",2009-09-15,23108.13,23029.31,23186.65,22923.86,
"181",2009-09-16,23465.49,23108.13,23506.31,23108.13,
"182",2009-09-17,23583.01,23465.49,23658.51,23417.21,
"183",2009-09-18,23483.97,23583.01,23692.17,23465.53,
"184",2009-09-21,23047.87,23483.96,23493.07,22864.28,
"185",2009-09-22,23066.9,23047.87,23348.42,22997.54,
"186",2009-09-23,23239.05,23066.9,23327.85,23066.9,
"187",2009-09-24,22953.4,23239.05,23408.98,22904.13,
"188",2009-09-25,23102.74,22953.4,23149.56,22828.56,
"189",2009-09-28,23478.43,23110.97,23478.43,22713.09,
"190",2009-09-29,23565.62,23478.43,23716.45,23435,
"191",2009-09-30,23472.73,23565.62,23775.18,23243.39,
"192",2009-10-01,23053.51,23472.73,23673.78,23035.19,
"193",2009-10-02,22652.94,23053.51,23053.51,22529.2,
"194",2009-10-05,22830.85,22652.94,22876.61,22504.94,
"195",2009-10-06,23459.59,22830.85,23459.59,22830.85,
"196",2009-10-07,23414.28,23459.59,23614.56,23326.63,
"197",2009-10-08,23663.68,23414.28,23704.19,23414.28,
"198",2009-10-09,23770.56,23663.68,23842.35,23542.35,
"199",2009-10-12,24140.95,23770.56,24179.5,23770.56,
"200",2009-10-13,23928.77,24140.95,24256.28,23852.3,
"201",2009-10-14,24348.23,23928.77,24389.57,23928.77,
"202",2009-10-15,24339.76,24348.23,24505.85,24194.8,
"203",2009-10-16,24152.34,24339.76,24558.46,24065.77,
"204",2009-10-19,24425.98,24152.34,24472.42,24152.34,
"205",2009-10-20,24228.05,24425.98,24550.82,24205.52,
"206",2009-10-21,24175.87,24228.05,24326.09,23754.02,
"207",2009-10-22,23813.41,24175.87,24175.87,23637.97,
"208",2009-10-23,23420.56,23813.41,24089.73,23371.35,
"209",2009-10-26,23001.56,23420.56,23598.72,22924.06,
"210",2009-10-27,22829.52,23001.56,23092.69,22622.81,
"211",2009-10-28,22315.61,22829.52,22829.52,22262.07,
"212",2009-10-29,22772.56,22315.61,22789.21,21964.89,
"213",2009-10-30,22060.33,22772.56,22941.97,22060.33,
"214",2009-11-02,22318.55,21882.14,22514.63,21870.83,
"215",2009-11-03,21946.91,22101.15,22180.48,21800.57,
"216",2009-11-04,22385.73,22133.42,22428.9,22018.84,
"217",2009-11-05,22582.24,22116.19,22703.26,21987.63,
"218",2009-11-06,22549.64,22591.16,22738.66,22226.85,
"219",2009-11-09,23065.93,22799.31,23082.33,22761.31,
"220",2009-11-10,23013.66,23167.17,23247.54,22945.43,
"221",2009-11-11,23266.6,23204.7,23476.04,23162.04,
"222",2009-11-12,23209.47,23209.43,23433.26,23085.93,
"223",2009-11-13,23284.2,23135.22,23284.2,23038.48,
"224",2009-11-16,23620.44,23450.82,23708.35,23450.82,
"225",2009-11-17,23381.18,23539.88,23625.83,23379.85,
"226",2009-11-18,23334.74,23535.97,23577.28,23285.65,
"227",2009-11-19,22823.22,23222.24,23379.24,22823.22,
"228",2009-11-20,22511.68,22895.57,22927.18,22408.7,
"229",2009-11-23,22956.44,22636.97,23010.01,22636.97,
"230",2009-11-24,22708.45,22790.58,22986.12,22676.39,
"231",2009-11-25,22741.85,22834.28,22937.1,22538.53,
"232",2009-11-26,21922.45,22641.69,22649.99,21912.74,
"233",2009-11-27,22205.28,21419.95,22322.42,21394.05,
"234",2009-11-30,21928.16,22325.94,22325.94,21913.3,
"235",2009-12-01,22556.05,22125.74,22556.05,22123.23,
"236",2009-12-02,22572.88,22589.79,22727.61,22420.39,
"237",2009-12-03,22615.94,22812.36,22905.02,22566.65,
"238",2009-12-04,22926.03,22523.28,23058.45,22354.89,
"239",2009-12-07,22788.52,22848.57,22905.93,22685.11,
"240",2009-12-08,22404.32,22761.96,22927.93,22274.28,
"241",2009-12-09,22236.23,22331.09,22493.35,22066.33,
"242",2009-12-10,22385.67,22225.26,22465.87,22137.82,
"243",2009-12-11,22411.51,22481.28,22650.27,22375.66,
"244",2009-12-14,22652.34,22637.33,22726.29,22570.26,
"245",2009-12-15,22617.23,22720.87,22743.33,22383.52,
"246",2009-12-16,22889.59,22657.14,22889.59,22626.54,
"247",2009-12-17,22677.74,22750.83,22853.33,22601.56,
"248",2009-12-18,22472.43,22698.8,22818.27,22421.5,
"249",2009-12-21,22738.68,22580.11,22790.67,22468.42,
"250",2009-12-22,22982.56,22798.18,23083.73,22788.41,
"251",2009-12-23,23109.12,23117.6,23214.26,23057.2,
"252",2009-12-28,23302.56,23278.63,23357.19,23244.08,
"253",2009-12-29,23376.24,23366.14,23462.94,23325.76,
"254",2009-12-30,23248.39,23364.77,23456.87,23197.13,
"255",2010-01-04,23545.02,23359.89,23545.02,23317.12,
"256",2010-01-05,23555.73,23554.43,23654.14,23479.89,
"257",2010-01-06,23622.29,23579.55,23633.57,23484.06,
"258",2010-01-07,23709.01,23551.12,23756.44,23467.26,
"259",2010-01-08,23811.13,23816.3,23911.07,23667.59,
"260",2010-01-11,23774.76,23946.44,24058.76,23771.87,
"261",2010-01-12,23583.35,23823.47,23863.41,23512.35,
"262",2010-01-13,23658.4,23485.92,23672.55,23462.36,
"263",2010-01-14,23805.99,23830.87,23905.94,23692.61,
"264",2010-01-15,23472.11,23893.65,23962.81,23457.03,
"265",2010-01-18,23509.76,23554.39,23622.05,23388.48,
"266",2010-01-19,23705.67,23451.69,23720.91,23141.27,
"267",2010-01-20,23126.02,23629.38,23718.45,23101,
"268",2010-01-21,22876.46,23301.2,23431.93,22863.25,
"269",2010-01-22,22567.81,22700.08,22923.02,22375.41,
"270",2010-01-25,22373.09,22373.66,22672.61,22340.48,
"271",2010-01-26,22407.71,22184.74,22425.4,22047.48,
"272",2010-01-27,21997.59,22182.3,22283.93,21901.91,
"273",2010-01-28,21603.13,22279.53,22287.69,21594.02,
"274",2010-01-29,21896.29,21634.3,22042.87,21478.1,
"275",2010-02-01,22012,21689.12,22075.89,21650.59,
"276",2010-02-02,22413.74,22080.8,22413.74,21899.33,
"277",2010-02-03,22169.25,22471.84,22502.6,22128.73,
"278",2010-02-04,21404.82,22182.62,22265.57,21383.03,
"279",2010-02-05,20815.88,21271,21322.05,20758.32,
"280",2010-02-08,20938.24,20929.83,21039.4,20465.51,
"281",2010-02-09,20818.97,20858,21095.48,20733,
"282",2010-02-10,21241.63,21096.41,21405.01,21070.18,
"283",2010-02-11,21076.45,21386.14,21477.2,20888.17,
"284",2010-02-12,21035.91,21286.32,21345.46,20906.99,
"285",2010-02-15,21122.47,21156.85,21310.27,21056.34,
"286",2010-02-16,21289.2,21324,21353.89,20994.17,
"287",2010-02-17,21650.81,21528.41,21798.72,21508.33,
"288",2010-02-18,21686.12,21618.55,21748.84,21541.45,
"289",2010-02-19,21772.33,21428.4,21773.8,21397.64,
"290",2010-02-22,21704.78,21885.79,21896.11,21698.65,
"291",2010-02-23,21224.07,21788.96,21865.6,21173.84,
"292",2010-02-24,21346.31,21281.4,21419.85,21021.01,
"293",2010-02-25,20843.23,21159.2,21347.67,20780.5,
"294",2010-02-26,21068.32,21053.66,21102.68,20807.31,
"295",2010-03-01,21320.8,21272.91,21342.75,21006.51,
"296",2010-03-02,21431.41,21319.82,21511.12,21237.55,
"297",2010-03-03,21745.06,21358.82,21784.42,21279.64,
"298",2010-03-04,21844.56,21571.37,21956.9,21571.37,
"299",2010-03-05,22278.12,21963.03,22287.57,21839.93,
"300",2010-03-08,22398.21,22420.93,22456.66,22329.1,
"301",2010-03-09,22355.8,22400.54,22435.35,22186.6,
"302",2010-03-10,22638.65,22357.68,22651.06,22272.2,
"303",2010-03-11,22540.85,22533.61,22685.89,22453.49,
"304",2010-03-12,22565.19,22584.25,22760.42,22520.07,
"305",2010-03-15,22373.23,22524.26,22578.7,22369.49,
"306",2010-03-16,22619.85,22417.15,22678.48,22415.58,
"307",2010-03-17,22902.58,22852.77,22934.38,22761.45,
"308",2010-03-18,22785.15,22810.07,22955.46,22726.62,
"309",2010-03-19,22687.3,22914.14,23058.23,22590.87,
"310",2010-03-22,22622.81,22567.88,22664.04,22373.61,
"311",2010-03-23,22765.89,22687.78,22821.22,22571.7,
"312",2010-03-24,22798.7,22832.22,22873.8,22503.96,
"313",2010-03-25,23034.46,22794.31,23079.69,22767.54,
"314",2010-03-26,23063.87,22997.97,23121.03,22942.79,
"315",2010-03-29,23104.97,23136.02,23188.29,22974.2,
"316",2010-03-30,23003.34,23207.13,23247.22,22983.39,
"317",2010-03-31,22847.97,22976.1,23152.39,22720.97,
"318",2010-04-01,23206.66,22962.51,23206.66,22930.15,
"319",2010-04-06,23346.66,23332.38,23361.56,23163.94,
"320",2010-04-07,23151.3,23328.88,23328.88,23116.55,
"321",2010-04-08,22820.01,23043.15,23121.99,22684,
"322",2010-04-09,23103.87,23001.75,23118.06,22899.44,
"323",2010-04-12,23291.65,23264.82,23328.49,23162.91,
"324",2010-04-13,23195.56,23227.87,23344.56,23134.7,
"325",2010-04-14,23480.42,23323.11,23495.58,23293.37,
"326",2010-04-15,23539.24,23543.4,23593.1,23369.08,
"327",2010-04-16,23007.22,23449.7,23580.19,22951.19,
"328",2010-04-19,22785.78,22787.66,22967.59,22692.96,
"329",2010-04-20,23271.68,22924.41,23271.68,22831.36,
"330",2010-04-21,23045.05,23354.58,23363.83,23000.61,
"331",2010-04-22,22616.5,23018.57,23171.61,22547.24,
"332",2010-04-23,22726,22660.93,22814.05,22469.54,
"333",2010-04-26,22783.27,22962.51,23053.51,22714.55,
"334",2010-04-27,22036.47,22763.46,22775.63,22036.47,
"335",2010-04-28,21501.24,21813.7,21959.84,21281.11,
"336",2010-04-29,21695.7,21597.6,21756.07,21334,
"337",2010-04-30,21562.48,21741.52,21956.56,21388.73,
"338",2010-05-03,21628.91,21518.66,21743.41,21375.27,
"339",2010-05-04,20613.25,21650.48,21699.96,20551.21,
"340",2010-05-05,20351.95,20657.45,20782.24,20074.08,
"341",2010-05-06,19483.93,20084.44,20477.02,19078.07,
"342",2010-05-07,18846.18,19052.3,19806.97,18846.18,
"343",2010-05-10,20971.21,19153.79,20971.21,19145.87,
"344",2010-05-11,20874.65,20717.16,20894.92,20346.92,
"345",2010-05-12,21029.48,20787.21,21293.84,20595.87,
"346",2010-05-13,20878.83,21259.09,21263.09,20664.34,
"347",2010-05-14,19781.17,20701.88,20706.76,19632.89,
"348",2010-05-17,19826.83,19677.24,20144.86,19569.26,
"349",2010-05-18,20314.21,20124.4,20405.82,19943.88,
"350",2010-05-19,19612.66,19906.71,19959.34,19409.85,
"351",2010-05-20,19282.05,19837.92,19980.48,18909.59,
"352",2010-05-21,19535.91,19296.24,19590.74,18937.7,
"353",2010-05-24,19030.49,19341.91,19395.2,18899.34,
"354",2010-05-25,18382.71,18406.74,18480.22,18044.47,
"355",2010-05-26,18778.41,18725.11,19055.14,18648.3,
"356",2010-05-27,19631.87,18948.42,19631.87,18881.19,
"357",2010-05-28,19475.88,19763.49,19763.49,19410.3,
"358",2010-05-31,19543.97,19353.54,19608.55,19346.69,
"359",2010-06-01,19279.18,19458.55,19472.21,18814.22,
"360",2010-06-02,19183.13,19102.73,19303.46,18892.67,
"361",2010-06-03,19473.35,19605.4,19776.71,19452.75,
"362",2010-06-04,18734.73,19523.82,19586.64,18641.98,
"363",2010-06-07,18631.18,18466.99,18892.35,18323.01,
"364",2010-06-08,18542.8,18761,18764.61,18191.02,
"365",2010-06-09,18912.91,18734.84,18912.91,18532.25,
"366",2010-06-10,19391.09,18781.95,19432.26,18658.6,
"367",2010-06-11,19660.27,19474.16,19747.92,19326.95,
"368",2010-06-14,20188.54,19886.49,20216.82,19883.91,
"369",2010-06-15,20582.72,19959.85,20631.95,19910,
"370",2010-06-16,20562.63,20723.62,20758.74,20274.33,
"371",2010-06-17,20568.91,20561.43,20758.67,20453.63,
"372",2010-06-18,20752.31,20630.28,20790.6,20439.09,
"373",2010-06-21,20810.44,21047.64,21075.2,20739.59,
"374",2010-06-22,20609.03,20666.47,20854.92,20372.1,
"375",2010-06-23,20358.92,20371.9,20659.26,20205.37,
"376",2010-06-24,19942.39,20468.32,20491.93,19825.97,
"377",2010-06-25,19961.74,19979.29,20121.43,19734.59,
"378",2010-06-28,20130.61,20063.25,20282.08,19790.33,
"379",2010-06-29,19236.26,19816.62,19849.94,19224.96,
"380",2010-06-30,19311.75,19297.85,19562.34,19111.09,
"381",2010-07-01,18943.76,18999.92,19254.15,18807.18,
"382",2010-07-02,19073.85,19114.29,19256.91,18926.85,
"383",2010-07-05,18848.56,19126.59,19126.59,18842.49,
"384",2010-07-06,19356.66,18945.13,19576.72,18903.77,
"385",2010-07-07,20013.07,19174.22,20013.07,19094.75,
"386",2010-07-08,20243.73,20160,20319.02,20106.13,
"387",2010-07-09,20478.98,20387.45,20527.09,20304.42,
"388",2010-07-12,20517.92,20513.86,20646.37,20392.62,
"389",2010-07-13,20851.85,20517.55,20889.78,20479.1,
"390",2010-07-14,20804.37,20972.51,20978.37,20573,
"391",2010-07-15,20480.08,20685.04,20883.48,20326.92,
"392",2010-07-16,20161.02,20535.25,20657.67,19995.55,
"393",2010-07-19,20117.54,20045,20368,19928,
"394",2010-07-20,19985.32,20260,20338,19638,
"395",2010-07-21,20137.92,20235,20373,20063,
"396",2010-07-22,20602,20023,20714,20008,
"397",2010-07-23,20604.08,20572,20747,20442,
"398",2010-07-26,20819.96,20717,20834,20484,
"399",2010-07-27,21158.08,20919,21304,20919,
"400",2010-07-29,21096.97,21164,21436,21044,
"401",2010-07-30,21021.56,21051,21224,20769,
"402",2010-08-02,21547.84,21112,21617,21027,
"403",2010-08-03,21498.32,21532,21629,21314,
"404",2010-08-04,21466.44,21432,21622,21102,
"405",2010-08-05,21302.97,21507,21584,21224,
"406",2010-08-06,21084.47,21429,21542,20969,
"407",2010-08-09,21341.62,21282,21407,21238,
"408",2010-08-10,21259.89,21243,21425,21098,
"409",2010-08-11,20579.24,21068,21098,20543,
"410",2010-08-12,20539.4,20613,20695,20348,
"411",2010-08-13,20473.15,20648,20655,20233,
"412",2010-08-16,20409.06,20496,20611,20193,
"413",2010-08-17,20668.57,20511,20701,20433,
"414",2010-08-18,20536.77,20538,20651,20391,
"415",2010-08-19,20115.69,20686,20701,20051,
"416",2010-08-20,19870.46,20126,20138,19806,
"417",2010-08-23,20010.34,19861,20265,19798,
"418",2010-08-24,19694.88,19845,19855,19482,
"419",2010-08-25,19465.45,19592,19765,19280,
"420",2010-08-26,19735.47,19577,19805,19520,
"421",2010-08-27,19817.46,19620,19892,19415,
"422",2010-08-30,19699.66,19940,19940,19613,
"423",2010-08-31,19734.57,19426,19782,19376,
"424",2010-09-01,20369.96,19759,20396,19589,
"425",2010-09-02,20412.28,20286,20486,20241,
"426",2010-09-03,20639.86,20481,20819,20372,
"427",2010-09-06,20660.91,20734,20744,20637,
"428",2010-09-07,20395.45,20562,20564,20261,
"429",2010-09-08,20580.26,20311,20646,20171,
"430",2010-09-09,20858.47,20461,20958,20448,
"431",2010-09-10,20833.19,20730,20895,20688,
"432",2010-09-13,21001.62,21045,21141,20961,
"433",2010-09-14,21003.94,20996,21086,20791,
"434",2010-09-15,20872.79,21056,21061,20711,
"435",2010-09-16,20684.36,20837,20922,20643,
"436",2010-09-17,20517.96,20873,20968,20353,
"437",2010-09-20,20753.54,20581,20823,20428,
"438",2010-09-21,20740.73,20663,20957,20643,
"439",2010-09-22,20365.3,20745,20760,20328,
"440",2010-09-23,20262.8,20505,20583,20027,
"441",2010-09-24,20607.72,20162,20667,20095,
"442",2010-09-27,20593.94,20687,20747,20557,
"443",2010-09-28,20541.59,20470,20714,20305,
"444",2010-09-29,20372.45,20637,20732,20319,
"445",2010-09-30,20379,20231,20819,20194,
"446",2010-10-01,20391.27,20516,20664,20333,
"447",2010-10-04,20090.97,20393,20418,20068,
"448",2010-10-05,20517.98,20078,20548,20000,
"449",2010-10-06,20568.31,20598,20708,20538,
"450",2010-10-07,20691.9,20563,20865,20468,
"451",2010-10-08,20750.74,20710,20828,20613,
"452",2010-10-11,20837.71,20818,20858,20733,
"453",2010-10-12,20750.22,20671,20846,20521,
"454",2010-10-13,21145.26,20846,21206,20798,
"455",2010-10-14,21094.86,21231,21266,21081,
"456",2010-10-15,21062.18,21126,21216,20909,
"457",2010-10-18,21258.59,21040,21292,20985,
"458",2010-10-19,21233.48,21244,21497,21187,
"459",2010-10-20,21425.79,21162,21442,21162,
"460",2010-10-21,21616.43,21384,21674,21357,
"461",2010-10-22,21536.21,21544,21635,21499,
"462",2010-10-25,21435.03,21627,21627,21361,
"463",2010-10-26,21363.52,21411,21476,21200,
"464",2010-10-27,21250.82,21220,21525,21195,
"465",2010-10-28,21509.62,21377,21619,21290,
"466",2010-10-29,21450.61,21419,21514,21319,
"467",2010-11-01,21184.93,21584,21604,21112,
"468",2010-11-02,21397.82,21209,21443,21147,
"469",2010-11-03,21180.81,21420,21540,21125,
"470",2010-11-04,21469.19,21482,21620,21425,
"471",2010-11-05,21166.98,21550,21575,21110,
"472",2010-11-08,21228.98,21142,21235,20990,
"473",2010-11-09,21578.48,21280,21637,21240,
"474",2010-11-10,21058.01,21452,21537,20975,
"475",2010-11-11,20855.96,21045,21060,20725,
"476",2010-11-12,20829.83,20360,20989,20337,
"477",2010-11-15,20993.27,20739,21024,20634,
"478",2010-11-16,20563.07,20789,20889,20559,
"479",2010-11-17,20639.08,20609,20718,20498,
"480",2010-11-18,20880.38,20773,20945,20673,
"481",2010-11-19,20773.12,20865,20905,20575,
"482",2010-11-22,20372.2,20865,20865,20245,
"483",2010-11-23,19950.96,20182,20355,19937,
"484",2010-11-24,19941.19,19895,19995,19695,
"485",2010-11-25,19945.94,19900,19978,19668,
"486",2010-11-26,19844.31,19736,19915,19545,
"487",2010-11-29,19314.38,19954,20089,19314.38,
"488",2010-11-30,19105.71,19329,19387,19009,
"489",2010-12-01,19536.33,19257,19607,19182,
"490",2010-12-02,20054.09,19687,20055,19442,
"491",2010-12-03,20120.8,20055,20195,19907,
"492",2010-12-06,19930.29,20195,20197,19835,
"493",2010-12-07,20108.38,20040,20250,19915,
"494",2010-12-08,20393.95,20050,20540,19990,
"495",2010-12-09,20533.56,20585,20645,20392,
"496",2010-12-10,20487.34,20577,20585,20420,
"497",2010-12-13,20634.6,20585,20745,20410,
"498",2010-12-14,20708.58,20660,20785,20465,
"499",2010-12-15,20410.27,20547,20567,20358,
"500",2010-12-16,20366.62,20358,20448,20199,
"501",2010-12-17,20069.18,20404,20404,20020,
"502",2010-12-20,20373.66,20050,20523,20050,
"503",2010-12-21,20736.6,20513,20744,20498,
"504",2010-12-22,20733.37,20789,20849,20699,
"505",2010-12-23,20774.16,20791,20914,20704,
"506",2010-12-27,20513.51,20686,20746,20454,
"507",2010-12-28,20448.48,20541,20556,20398,
"508",2010-12-29,20471.01,20481,20603,20431,
"509",2010-12-30,20173.29,20463,20466,20163,
"510",2011-01-03,20436.28,20138,20559,20103,
"511",2011-01-04,20547.03,20473,20681,20338,
"512",2011-01-05,20551.58,20486,20561,20226,
"513",2011-01-06,20637.39,20608,20898,20576,
"514",2011-01-07,20542.06,20651,20741,20361,
"515",2011-01-10,20058.18,20396,20428,20058.18,
"516",2011-01-11,20339.05,20147,20373,20005,
"517",2011-01-12,21116.39,20420,21124,20420,
"518",2011-01-13,21308.13,21301,21343,21078,
"519",2011-01-14,21460.09,21333,21505,21223,
"520",2011-01-17,21344.14,21498,21530,21278,
"521",2011-01-18,21590.86,21463,21623,21443,
"522",2011-01-19,21712.14,21640,21858,21568,
"523",2011-01-20,21792.28,21693,21973,21658,
"524",2011-01-21,22093.85,21940,22318,21883,
"525",2011-01-24,22156.85,22233,22243,21955,
"526",2011-01-25,21940.13,22248,22258,21863,
"527",2011-01-26,22007,22068,22173,21940,
"528",2011-01-27,22311.52,21902,22405,21860,
"529",2011-01-28,22025.11,22270,22462,22002,
"530",2011-01-31,22050.45,21872,22214,21715,
"531",2011-02-01,22525.59,22119,22525.59,21996,
"532",2011-02-02,22625.42,22548,22713,22513,
"533",2011-02-03,22443.86,22598,22758,22318,
"534",2011-02-04,22618.05,22590,22717,22543,
"535",2011-02-07,22793.01,22752,22962,22672,
"536",2011-02-08,22734.17,22717,22810,22574,
"537",2011-02-09,22683.46,22715,22831,22581,
"538",2011-02-10,22596.79,22578,22646,22298,
"539",2011-02-11,22695.19,22473,22793,22353,
"540",2011-02-14,22675.14,22858,22865,22575,
"541",2011-02-15,22823.82,22628,22935,22628,
"542",2011-02-16,23153.72,22920,23173,22883,
"543",2011-02-17,23178.38,23123,23220,23028,
"544",2011-02-18,23059.03,23218,23243,22858,
"545",2011-02-21,22230.2,22876,22911,22203,
"546",2011-02-23,21915.38,21954,22134,21866,
"547",2011-02-24,21929.94,21786,22049,21726,
"548",2011-02-25,22349.71,21984,22414,21971,
"549",2011-02-28,22466.57,22304,22659,22146,
"550",2011-03-01,22225.69,22586,22719,22119,
"551",2011-03-02,22238.75,22064,22398,21874,
"552",2011-03-03,22154.23,22358,22486,22056,
"553",2011-03-04,22138.44,22256,22456,22112,
"554",2011-03-07,22145.79,22089,22452,21982,
"555",2011-03-08,22303.69,22252,22374,22117,
"556",2011-03-09,22442.72,22362,22568,22277,
"557",2011-03-10,22084.46,22278,22373,21993,
"558",2011-03-11,21863.02,21935,22088,21825,
"559",2011-03-14,21804.32,21742,22155,21719,
"560",2011-03-15,21365.4,21336,21561,20938,
"561",2011-03-16,20861.78,21408,21501,20798,
"562",2011-03-17,21140.59,20833,21300,20833,
"563",2011-03-18,21197.1,21292,21448,21055,
"564",2011-03-21,21503,21478,21528,21278,
"565",2011-03-22,21556.82,21563,21820,21455,
"566",2011-03-23,21698.38,21490,21715,21488,
"567",2011-03-24,22023.91,21627,22023.91,21610,
"568",2011-03-25,21984.99,22096,22136,21936,
"569",2011-03-28,22009.95,21981,22111,21898,
"570",2011-03-29,21780.78,22028,22033,21606,
"571",2011-03-30,22001.19,21946,22026,21873,
"572",2011-03-31,21727.44,22031,22031,21631,
"573",2011-04-01,21967.77,21866,22026,21596,
"574",2011-04-04,22007.81,21918,22071,21791,
"575",2011-04-05,22058.98,22001,22106,21896,
"576",2011-04-06,22326.52,22058,22421,21853,
"577",2011-04-07,22243.99,22336,22485,22205,
"578",2011-04-08,22389.15,22370,22455,22305,
