"","BIST 100 (XU100)_history.csv Date","BIST 100 (XU100)_history.csv Price","BIST 100 (XU100)_history.csv Open","BIST 100 (XU100)_history.csv High","BIST 100 (XU100)_history.csv Low","BIST 100 (XU100)_history.csv Volume"
"47",2009-03-09,23054.97,23220.02,23389.17,22658.75,
"48",2009-03-10,23315.43,23054.97,23391.75,22913.62,
"49",2009-03-11,23282.57,23315.43,23693.19,23195.29,
"50",2009-03-12,23539.49,23282.57,23539.49,22583.11,
"51",2009-03-13,23615.25,23539.49,24040.54,23539.49,
"52",2009-03-16,23620.31,23615.25,23895.95,23488.07,
"53",2009-03-17,23452.76,23620.31,23620.31,23286.42,
"54",2009-03-18,23497.17,23452.76,23735.86,23243.22,
"55",2009-03-19,23968.83,23497.17,24114.87,23497.17,
"56",2009-03-20,24038.89,23968.83,24105.5,23760.48,
"57",2009-03-23,24919.26,24038.89,24919.26,24038.89,
"58",2009-03-24,25001.59,24919.26,25531.98,24867.49,
