"","Karachi 100 (KSE)_history.csv Date","Karachi 100 (KSE)_history.csv Price","Karachi 100 (KSE)_history.csv Open","Karachi 100 (KSE)_history.csv High","Karachi 100 (KSE)_history.csv Low","Karachi 100 (KSE)_history.csv Volume"
"27",2009-02-11,5429.43,5452.51,5563.57,5325.42,"-"
"28",2009-02-12,5399.36,5420.57,5471.08,5390.85,"-"
"29",2009-02-13,5625.9,5414.66,5630.14,5414.66,"-"
"30",2009-02-16,5796.21,5627.89,5821.31,5627.89,"-"
"31",2009-02-17,5839.63,5778.68,5890.9,5756.29,"-"
"32",2009-02-18,5880.13,5844.58,5917.36,5810.49,"-"
"33",2009-02-19,6022.44,5904.75,6079.3,5904.75,"-"
"34",2009-02-20,5969.09,6022.74,6117.82,5929.14,"-"
"35",2009-02-23,5850.26,5965.45,5965.45,5787.16,"-"
"36",2009-02-24,5874.83,5821.83,5974.09,5818.15,"-"
"37",2009-02-25,5580.78,5870.11,5951.23,5571.38,"-"
"38",2009-02-26,5649.49,5568.42,5694.72,5407.61,"-"
"39",2009-02-27,5727.46,5649.63,5764.5,5649.63,"-"
"40",2009-03-02,5681.29,5730.21,5755.15,5661.39,"-"
"41",2009-03-03,5596.49,5673.9,5673.9,5504.9,"-"
"42",2009-03-04,5815.43,5601.68,5826.15,5601.68,"-"
"43",2009-03-05,5788.27,5820.33,5924.28,5765.84,"-"
"44",2009-03-06,5748.1,5790.72,5813.59,5726.38,"-"
"45",2009-03-09,5662.01,5738.29,5738.29,5662.01,"-"
"46",2009-03-11,5557.92,5638.14,5718.85,5552.9,"-"
"47",2009-03-12,5707.09,5566.51,5733.14,5563.49,"-"
"48",2009-03-13,5750.47,5709.54,5763.7,5696.41,"-"
"49",2009-03-16,6063.54,5763.3,6072.29,5763.3,"-"
"50",2009-03-17,6138.53,6067.37,6194.27,6067.37,"-"
"51",2009-03-18,6266,6167.88,6286.38,6113.03,"-"
"52",2009-03-19,6441,6277.21,6460.31,6277.21,"-"
"53",2009-03-20,6340.36,6444.47,6546.45,6313.16,"-"
"54",2009-03-24,6617,6360.83,6622.74,6360.83,"-"
"55",2009-03-25,6674.2,6617.24,6763.01,6598.77,"-"
"56",2009-03-26,6608.49,6679.41,6725.54,6585.8,"-"
"57",2009-03-27,6826.99,6612.61,6827.74,6612.61,"-"
"58",2009-03-30,7015.13,6804.75,7076.82,6803.46,"-"
"59",2009-03-31,6860.22,7018.96,7073.77,6830.05,"-"
"60",2009-04-01,6931.9,6907.74,7041.44,6899.46,"-"
"61",2009-04-02,7191.09,6984.61,7199.16,6984.61,"-"
"62",2009-04-03,7432.88,7213.1,7487.31,7213.1,"-"
"63",2009-04-06,7518.93,7434.63,7583.39,7385.08,"-"
"64",2009-04-07,7635.88,7537.01,7689.15,7537.01,"-"
"65",2009-04-08,7340.3,7542.21,7674.32,7316.01,"-"
"66",2009-04-09,7295.98,7291.26,7488.7,7136.89,"-"
"67",2009-04-10,7617.96,7343.04,7622.69,7327.66,"-"
"68",2009-04-13,7872.49,7619.07,7908.56,7619.07,"-"
"69",2009-04-14,7832.85,7874.32,8009.25,7775.5,"-"
"70",2009-04-15,7807.08,7833.62,7885.15,7604.76,"-"
"71",2009-04-16,7670.08,7818.11,8022.07,7595.6,"-"
"72",2009-04-17,7794.95,7673.71,7910.63,7524.09,"-"
"73",2009-04-20,7902.48,7803.8,7977.25,7803.8,"-"
