"","OMX Copenhagen 20 (OMXC20)_history.csv Date","OMX Copenhagen 20 (OMXC20)_history.csv Price","OMX Copenhagen 20 (OMXC20)_history.csv Open","OMX Copenhagen 20 (OMXC20)_history.csv High","OMX Copenhagen 20 (OMXC20)_history.csv Low","OMX Copenhagen 20 (OMXC20)_history.csv Volume"
"120",2009-06-30,290.7,290.11,292.95,289.62,
"121",2009-07-01,294.56,290.8,294.57,290.43,
"122",2009-07-02,289.58,294.46,294.46,288.53,
"123",2009-07-03,286.56,289.19,289.38,285.95,
"124",2009-07-06,282.62,286.56,286.56,281.59,
"125",2009-07-07,282.47,283.01,286.75,282.47,
"126",2009-07-08,282.35,281.98,283.6,280.16,
"127",2009-07-09,280.9,282.64,284.01,279.97,
"128",2009-07-10,279.84,281,281.2,278.2,
"129",2009-07-13,279.72,279.65,280.44,276.18,
"130",2009-07-14,282.52,280.21,284.1,280.21,
"131",2009-07-15,288.29,282.9,288.97,282.9,
"132",2009-07-16,291.02,288.78,292.01,288.59,
"133",2009-07-17,292.92,291.12,293.41,291,
"134",2009-07-20,295.79,292.63,296.77,292.56,
"135",2009-07-21,301.05,295.79,302.28,295.79,
"136",2009-07-22,299.75,301.15,302.38,296.33,
"137",2009-07-23,305.76,300.04,306.48,299.82,
"138",2009-07-24,305.71,305.57,307.75,304.04,
"139",2009-07-27,306.61,305.51,309.28,305.42,
"140",2009-07-28,308.15,306.51,310.14,306.41,
"141",2009-07-29,301.24,307.47,307.47,299.65,
"142",2009-07-30,310.13,301.54,310.22,301.54,
"143",2009-07-31,311.23,309.93,312.04,307.62,
"144",2009-08-03,318.78,311.13,319.12,309.65,
"145",2009-08-04,319.19,319.07,320.34,315.26,
"146",2009-08-05,322.48,318.99,325.16,318.33,
"147",2009-08-06,323.91,322.48,327.3,321.34,
"148",2009-08-07,322.98,323.42,323.79,315.95,
"149",2009-08-10,323.11,322.79,323.11,318.92,
"150",2009-08-11,318.56,322.82,323.44,317.98,
"151",2009-08-12,320.89,318.17,321.67,315.44,
"152",2009-08-13,327.32,320.98,327.38,320.98,
"153",2009-08-14,329.63,327.32,331.52,326.95,
"154",2009-08-17,324.09,328.95,328.95,321.48,
"155",2009-08-18,321.22,324.19,326.86,320.77,
"156",2009-08-19,316.53,320.93,321.28,316.29,
"157",2009-08-20,322.43,316.92,322.57,316.92,
"158",2009-08-21,330.2,321.17,330.8,318.76,
"159",2009-08-24,335.32,330.68,338.4,330.68,
"160",2009-08-25,336.52,334.93,337.55,332.63,
"161",2009-08-26,335.12,336.32,339.3,332.53,
"162",2009-08-27,334.81,334.83,337.62,333.95,
"163",2009-08-28,339.46,335.19,342.37,335.19,
"164",2009-08-31,335.03,338.88,338.88,334.05,
"165",2009-09-01,334.22,335.12,339.94,333.14,
"166",2009-09-02,321.9,332.37,332.57,320.16,
"167",2009-09-03,321.5,321.61,325.49,319.97,
"168",2009-09-04,328.14,321.89,328.66,321.8,
"169",2009-09-07,331.42,328.34,331.93,328.24,
"170",2009-09-08,332.67,331.52,332.94,330.42,
"171",2009-09-09,334.1,332.18,334.41,329.08,
"172",2009-09-10,335.3,334.29,337.41,332.89,
"173",2009-09-11,333.43,335.2,336.88,333.04,
"174",2009-09-14,331.6,333.24,333.33,328.52,
"175",2009-09-15,331.61,331.8,332.43,329.44,
"176",2009-09-16,338.24,331.51,338.48,331.51,
"177",2009-09-17,337.04,338.63,341.34,335.11,
"178",2009-09-18,337.04,336.95,338.27,333.4,
"179",2009-09-21,336.42,337.14,337.87,335.15,
"180",2009-09-22,339.84,336.62,340.51,336.52,
"181",2009-09-23,336.82,339.84,339.98,335.63,
"182",2009-09-24,328.87,336.53,336.63,328.27,
"183",2009-09-25,330.23,328.97,333.63,326.98,
"184",2009-09-28,334.57,330.23,334.57,328.02,
"185",2009-09-29,334.7,335.44,337.97,333.77,
"186",2009-09-30,335.03,334.9,337.32,332.69,
"187",2009-10-01,331.87,335.23,336.37,329.59,
"188",2009-10-02,325.49,331.48,331.48,322.98,
"189",2009-10-05,326.33,325.59,328.28,324.26,
"190",2009-10-06,333.1,326.82,333.91,326.72,
"191",2009-10-07,330.6,333.1,334.91,329.62,
"192",2009-10-08,333.04,331.18,335.16,331.18,
"193",2009-10-09,332.4,332.84,334.41,330.29,
"194",2009-10-12,336.52,332.59,337.77,332.51,
"195",2009-10-13,332.81,336.52,337.71,332.32,
"196",2009-10-14,340.91,333.3,342.06,333.3,
"197",2009-10-15,340.3,341.2,345.02,339.72,
"198",2009-10-16,339.42,340.69,343.76,339.21,
"199",2009-10-19,341.45,339.61,343.44,339.3,
"200",2009-10-20,339.98,341.93,343.26,339.93,
"201",2009-10-21,341.35,340.27,341.35,336.15,
"202",2009-10-22,335.69,340.67,340.67,335.27,
"203",2009-10-23,338.97,336.17,340.45,336.08,
"204",2009-10-26,333.52,338.97,339.73,333.44,
"205",2009-10-27,332.71,333.62,338.2,330.09,
"206",2009-10-28,325.28,332.71,333.14,323.51,
"207",2009-10-29,327.15,325.28,328.03,320.22,
"208",2009-10-30,324.16,327.44,331.28,323.9,
"209",2009-11-02,326.49,324.06,326.82,321.45,
"210",2009-11-03,324.62,326.01,326.01,319.33,
"211",2009-11-04,327.32,324.92,327.32,324.75,
"212",2009-11-05,329.73,326.74,329.73,323.56,
"213",2009-11-06,328.55,329.73,332.24,327.5,
"214",2009-11-09,334.32,329.23,334.32,329.23,
"215",2009-11-10,332.51,334.32,334.73,331.62,
"216",2009-11-11,335.6,332.7,336.74,332.7,
"217",2009-11-12,331.81,334.14,334.14,330,
"218",2009-11-13,331.62,331.62,331.62,329.29,
"219",2009-11-16,338.72,332.01,338.72,332.01,
"220",2009-11-17,335.24,338.62,338.62,335.12,
"221",2009-11-18,338.04,335.34,340.65,335.34,
"222",2009-11-19,333.84,337.94,337.98,333.44,
"223",2009-11-20,332.58,333.74,336.24,331.98,
"224",2009-11-23,337.02,332.96,337.26,332.96,
"225",2009-11-24,331.59,336.82,336.82,331.43,
"226",2009-11-25,330.3,331.88,333.12,329.32,
"227",2009-11-26,325.79,330.3,330.3,325.43,
"228",2009-11-27,327.28,325.11,327.28,319.47,
"229",2009-11-30,327.2,327.47,329.54,323.73,
"230",2009-12-01,332.77,327.3,333.4,327.3,
"231",2009-12-02,337.1,332.97,337.44,332.97,
"232",2009-12-03,334.89,337.1,338.45,333.85,
"233",2009-12-04,337.62,334.89,338.87,332.67,
"234",2009-12-07,336.56,337.23,338.25,333.93,
"235",2009-12-08,333.39,336.56,339.72,332.21,
"236",2009-12-09,332.32,333.58,334.25,330.62,
"237",2009-12-10,331.86,332.42,332.47,330.5,
"238",2009-12-11,332,331.96,333.8,331.84,
"239",2009-12-14,331.27,332.3,334.35,330.49,
"240",2009-12-15,331.53,331.27,332.02,329.48,
"241",2009-12-16,336.56,331.63,336.56,330.89,
"242",2009-12-17,334.34,336.27,336.86,333.6,
"243",2009-12-18,334.29,334.43,334.64,332.54,
"244",2009-12-21,331.41,334.29,334.29,329.94,
"245",2009-12-22,334.25,331.53,334.25,330.81,
"246",2009-12-23,335.08,334.31,335.78,334.02,
