"","KOSPI (KS11)_history.csv Date","KOSPI (KS11)_history.csv Price","KOSPI (KS11)_history.csv Open","KOSPI (KS11)_history.csv High","KOSPI (KS11)_history.csv Low","KOSPI (KS11)_history.csv Volume"
"35",2009-02-23,1099.55,1058.54,1099.55,1051.52,"395970000"
"36",2009-02-24,1063.88,1061.56,1071.93,1055.86,"576240000"
"37",2009-02-25,1067.08,1094.7,1095.73,1061.6,"735240000"
"38",2009-02-26,1054.79,1077.71,1100.45,1036.67,"574940000"
"39",2009-02-27,1063.03,1056.71,1076.81,1048.05,"498240000"
"40",2009-03-02,1018.81,1044.28,1044.28,1010.87,"413890000"
"41",2009-03-03,1025.57,993.85,1029.18,992.69,"543320000"
"42",2009-03-04,1059.26,1018.9,1062.69,1008.67,"490750000"
"43",2009-03-05,1058.18,1068.25,1074.56,1050.9,"509820000"
"44",2009-03-06,1055.03,1036.29,1059.33,1036.29,"465690000"
"45",2009-03-09,1071.73,1068.98,1077.13,1052.41,"457860000"
"46",2009-03-10,1092.2,1060.61,1096.59,1060.61,"614040000"
"47",2009-03-11,1127.51,1122.91,1127.88,1118.12,"574160000"
"48",2009-03-12,1128.39,1126.6,1132.3,1107.6,"536780000"
"49",2009-03-13,1126.03,1137.35,1147.83,1124.71,"506110000"
"50",2009-03-16,1125.46,1126.09,1142.58,1119.33,"435920000"
"51",2009-03-17,1163.88,1140.32,1166.6,1132.75,"726610000"
"52",2009-03-18,1169.95,1176.86,1176.86,1157.11,"519930000"
"53",2009-03-19,1161.81,1180.39,1186.91,1158.19,"532380000"
"54",2009-03-20,1170.94,1165.03,1180.38,1163.59,"374530000"
"55",2009-03-23,1199.5,1179.6,1201.23,1179.13,"461180000"
"56",2009-03-24,1221.7,1225.94,1225.94,1205.08,"512210000"
"57",2009-03-25,1229.02,1216.29,1229.02,1211.2,"494380000"
"58",2009-03-26,1243.8,1226.51,1243.97,1216.49,"586550000"
"59",2009-03-27,1237.51,1248.7,1256.7,1233.95,"701510000"
"60",2009-03-30,1197.46,1239.8,1244.78,1196.32,"524790000"
"61",2009-03-31,1206.26,1205.98,1228.21,1203.16,"502320000"
"62",2009-04-01,1233.36,1214.06,1238.04,1201.71,"585470000"
"63",2009-04-02,1276.97,1254.38,1278.56,1249.94,"730140000"
"64",2009-04-03,1283.75,1288.56,1292.6,1274.45,"617720000"
"65",2009-04-06,1297.85,1292.42,1315.3,1292.42,"724900000"
"66",2009-04-07,1300.1,1296.32,1304.28,1282.41,"686330000"
"67",2009-04-08,1262.07,1284.98,1287.59,1260.73,"750810000"
"68",2009-04-09,1316.35,1274.03,1317.29,1272.02,"932080000"
"69",2009-04-10,1336.04,1340.87,1355.69,1319.52,"918350000"
"70",2009-04-13,1338.26,1341.74,1353.27,1328.99,"815030000"
"71",2009-04-14,1342.63,1353.25,1356.31,1323.64,"932090000"
"72",2009-04-15,1333.09,1321.6,1341.32,1305.16,"806900000"
"73",2009-04-16,1336.72,1356.88,1371.28,1334.65,"743490000"
"74",2009-04-17,1329,1354.93,1360.9,1316.11,"789970000"
"75",2009-04-20,1336.39,1331.76,1338.9,1311.73,"562160000"
"76",2009-04-21,1336.81,1307.95,1338.48,1303.22,"636480000"
"77",2009-04-22,1356.02,1347.79,1360.41,1336.41,"728670000"
"78",2009-04-23,1368.8,1367.3,1371.95,1353.16,"745630000"
"79",2009-04-24,1354.1,1371.81,1375.8,1343.55,"679980000"
"80",2009-04-27,1339.83,1358.2,1366.66,1334.02,"544570000"
"81",2009-04-28,1300.24,1344.77,1353.8,1298.86,"756890000"
"82",2009-04-29,1338.42,1310.62,1338.43,1299.98,"598740000"
"83",2009-04-30,1369.36,1353.67,1377.82,1350.46,"811190000"
"84",2009-05-04,1397.92,1386.02,1397.92,1381.12,"748800000"
"85",2009-05-06,1393.45,1399.82,1408.57,1385.35,"738450000"
"86",2009-05-07,1401.08,1414.55,1415.48,1389.82,"769660000"
"87",2009-05-08,1412.13,1400.47,1412.14,1390.83,"731950000"
"88",2009-05-11,1415.16,1416.42,1420.31,1405.42,"681350000"
"89",2009-05-12,1403.51,1406.44,1411.21,1395.91,"770480000"
"90",2009-05-13,1414.52,1409.59,1414.63,1400.35,"713760000"
"91",2009-05-14,1380.95,1395.6,1400.38,1380.91,"700680000"
"92",2009-05-15,1391.73,1395.15,1399.84,1385.83,"702590000"
"93",2009-05-18,1386.68,1385.71,1387.2,1366.58,"552160000"
"94",2009-05-19,1428.21,1416.95,1428.21,1411.89,"767490000"
"95",2009-05-20,1435.7,1427.98,1436.92,1424.6,"698220000"
"96",2009-05-21,1421.65,1431.03,1433.07,1412.73,"867110000"
"97",2009-05-22,1403.75,1406.27,1431.32,1402.8,"675430000"
"98",2009-05-25,1400.9,1393.99,1414.14,1315.21,"823950000"
"99",2009-05-26,1372.04,1407.58,1409.29,1361.58,"655670000"
"100",2009-05-27,1362.02,1394.74,1396.77,1360.3,"776680000"
"101",2009-05-28,1392.17,1355.89,1392.17,1345.1,"633960000"
"102",2009-05-29,1395.89,1393.25,1398.44,1380.68,"540480000"
"103",2009-06-01,1415.1,1394.92,1415.1,1384.45,"552560000"
"104",2009-06-02,1412.85,1437.15,1437.76,1411.62,"692210000"
"105",2009-06-03,1414.89,1423.8,1427.05,1402.76,"728120000"
"106",2009-06-04,1378.14,1410.24,1411.11,1375.94,"579340000"
"107",2009-06-05,1394.71,1392.63,1394.71,1373.24,"509060000"
"108",2009-06-08,1393.3,1394.23,1411.27,1387.41,"513520000"
"109",2009-06-09,1371.84,1406.66,1410,1371.52,"477660000"
"110",2009-06-10,1414.88,1379.61,1414.88,1376.46,"497180000"
"111",2009-06-11,1419.39,1411.92,1435.28,1407.5,"483720000"
"112",2009-06-12,1428.59,1428.87,1436.23,1416.5,"506640000"
"113",2009-06-15,1412.42,1427.75,1427.75,1401.19,"432790000"
"114",2009-06-16,1399.15,1394.7,1410.01,1389.33,"472600000"
"115",2009-06-17,1391.17,1391.97,1397.21,1384.13,"453700000"
"116",2009-06-18,1375.76,1390.22,1396.75,1371.38,"496910000"
"117",2009-06-19,1383.34,1386.52,1388.75,1369.76,"468020000"
"118",2009-06-22,1399.71,1381.85,1399.92,1379.75,"400400000"
"119",2009-06-23,1360.54,1369.87,1374.44,1354.98,"497740000"
"120",2009-06-24,1363.79,1366.01,1370,1350.31,"430910000"
"121",2009-06-25,1392.73,1366.78,1402.35,1366.78,"446370000"
"122",2009-06-26,1394.53,1401.57,1404.01,1388.38,"423780000"
"123",2009-06-29,1388.45,1399.64,1408.94,1386.03,"422600000"
"124",2009-06-30,1390.07,1402.3,1409.1,1385.76,"469820000"
"125",2009-07-01,1411.66,1386.33,1414.79,1381.09,"503630000"
"126",2009-07-02,1411.48,1419.15,1419.15,1403.18,"462970000"
"127",2009-07-03,1420.04,1389.93,1420.04,1389.39,"397390000"
"128",2009-07-06,1428.94,1419.17,1434.31,1416.2,"379950000"
"129",2009-07-07,1434.2,1434.47,1439.57,1426.95,"450990000"
"130",2009-07-08,1431.02,1424.92,1431.02,1412.68,"433380000"
"131",2009-07-09,1430.89,1428.74,1443.81,1426.41,"434390000"
"132",2009-07-10,1428.62,1435.52,1436.5,1415.99,"454720000"
"133",2009-07-13,1378.12,1426.31,1426.31,1378.12,"444110000"
"134",2009-07-14,1385.56,1400.53,1402,1377.6,"425360000"
"135",2009-07-15,1420.86,1402.76,1422.41,1402.28,"396400000"
"136",2009-07-16,1432.22,1438.02,1442.1,1426.51,"422380000"
"137",2009-07-17,1440.1,1443.49,1445.6,1432.8,"402810000"
"138",2009-07-20,1478.51,1447.85,1480.49,1447.11,"503940000"
"139",2009-07-21,1488.99,1489.45,1496.87,1480.64,"513090000"
"140",2009-07-22,1494.04,1492.37,1496.49,1485.04,"505950000"
"141",2009-07-23,1496.49,1495.39,1504.7,1484.83,"641580000"
"142",2009-07-24,1502.59,1508.32,1510.82,1496.89,"531090000"
"143",2009-07-27,1524.05,1510.75,1529.26,1505.85,"503200000"
"144",2009-07-28,1526.03,1521.49,1528.55,1518.5,"429650000"
"145",2009-07-29,1524.32,1524.08,1529.8,1516.03,"485140000"
"146",2009-07-30,1534.74,1524.56,1535.36,1511.13,"430330000"
"147",2009-07-31,1557.29,1543.05,1559.07,1536.86,"465620000"
"148",2009-08-03,1564.98,1561.94,1570.01,1554.77,"489080000"
"149",2009-08-04,1566.37,1576.95,1586.12,1558.47,"588370000"
"150",2009-08-05,1559.47,1571.71,1575.03,1557.79,"492850000"
"151",2009-08-06,1565.04,1555.64,1572.17,1546.5,"490960000"
"152",2009-08-07,1576,1563.13,1576.8,1559.18,"476450000"
"153",2009-08-10,1576.11,1585.35,1588.15,1573.22,"489760000"
"154",2009-08-11,1579.21,1572.33,1580.44,1570.51,"571130000"
"155",2009-08-12,1565.35,1571.74,1571.74,1552.51,"506960000"
"156",2009-08-13,1564.64,1578.95,1581.34,1564.64,"560280000"
"157",2009-08-14,1591.41,1582.21,1594.46,1579.17,"604450000"
"158",2009-08-17,1547.06,1588.73,1588.73,1541.74,"593840000"
"159",2009-08-18,1550.24,1534.22,1560.73,1530.65,"597370000"
"160",2009-08-19,1545.96,1555.03,1564.9,1545.93,"520720000"
"161",2009-08-20,1576.39,1559.99,1577.08,1544.5,"454190000"
"162",2009-08-21,1580.98,1582.61,1590.15,1564.45,"513140000"
"163",2009-08-24,1612.22,1604.31,1614.05,1602.34,"540200000"
"164",2009-08-25,1601.38,1603.03,1610.33,1596,"460170000"
"165",2009-08-26,1614.12,1607.7,1615.05,1602.4,"450310000"
"166",2009-08-27,1599.33,1608.83,1614.07,1590.98,"425510000"
"167",2009-08-28,1607.94,1612.93,1616.29,1599.68,"454580000"
"168",2009-08-31,1591.85,1607.61,1611.65,1580.28,"442820000"
"169",2009-09-01,1623.06,1592.29,1624.34,1583.11,"443440000"
"170",2009-09-02,1613.16,1598.66,1622.82,1592.48,"560420000"
"171",2009-09-03,1613.53,1614.53,1620.06,1605.96,"491550000"
"172",2009-09-04,1608.9,1623.07,1623.07,1597.2,"593830000"
"173",2009-09-07,1608.57,1618.79,1619.98,1601.04,"410380000"
"174",2009-09-08,1619.69,1616.48,1622.73,1610.91,"522360000"
"175",2009-09-09,1607.77,1622.25,1622.81,1602.69,"516610000"
"176",2009-09-10,1644.68,1615.71,1644.68,1613.76,"580100000"
"177",2009-09-11,1651.7,1644.31,1653.77,1639.83,"512630000"
"178",2009-09-14,1634.91,1653.17,1653.59,1628.96,"428270000"
"179",2009-09-15,1653.4,1646.29,1654.92,1640.87,"548200000"
"180",2009-09-16,1683.33,1660.43,1693.84,1660.43,"567190000"
"181",2009-09-17,1695.47,1700.19,1704.88,1682.04,"526690000"
"182",2009-09-18,1699.71,1695.17,1713.22,1691.64,"499340000"
"183",2009-09-21,1695.5,1700.56,1709.34,1691.92,"516830000"
"184",2009-09-22,1718.88,1701.96,1720.73,1701.57,"447550000"
"185",2009-09-23,1711.47,1723.03,1723.17,1705.98,"502580000"
"186",2009-09-24,1693.88,1706.19,1715.55,1680.96,"420660000"
"187",2009-09-25,1691.48,1686.41,1691.71,1662.52,"391170000"
"188",2009-09-28,1675.55,1678.57,1685.34,1668.97,"350990000"
"189",2009-09-29,1690.05,1695.94,1696.71,1680.69,"343340000"
"190",2009-09-30,1673.14,1688.6,1704.24,1665.9,"369460000"
"191",2009-10-01,1644.63,1680.46,1685.01,1629.55,"336780000"
"192",2009-10-05,1606.9,1622.1,1629.01,1603.71,"318640000"
"193",2009-10-06,1598.44,1620.31,1626.02,1590.47,"389820000"
"194",2009-10-07,1598,1619.07,1625.11,1598,"409930000"
"195",2009-10-08,1615.46,1607.86,1615.46,1591.15,"376370000"
"196",2009-10-09,1646.79,1622.12,1648.98,1614.61,"439620000"
"197",2009-10-12,1639.81,1660.19,1661.37,1631.59,"412570000"
"198",2009-10-13,1628.93,1634.49,1642.78,1614.46,"418250000"
"199",2009-10-14,1649.09,1642.1,1653.22,1637.78,"410160000"
"200",2009-10-15,1658.99,1661.69,1672.08,1653.33,"372680000"
"201",2009-10-16,1640.36,1656.07,1667.49,1638.49,"370210000"
"202",2009-10-19,1649.07,1633.34,1649.69,1614.85,"278200000"
"203",2009-10-20,1659.15,1663.95,1665.65,1649.27,"401150000"
"204",2009-10-21,1653.86,1649.81,1664.52,1645.56,"365340000"
"205",2009-10-22,1630.33,1638.01,1650.03,1623.96,"3.86e+08"
"206",2009-10-23,1640.17,1643.62,1647.27,1633.11,"330170000"
"207",2009-10-26,1657.11,1634.33,1663.03,1633.92,"313330000"
"208",2009-10-27,1649.53,1646.76,1651.63,1637.15,"334190000"
"209",2009-10-28,1609.71,1648.8,1652.46,1604.01,"368830000"
"210",2009-10-29,1585.85,1584.52,1587.19,1564.41,"371700000"
