"","PSI 20 (PSI20)_history.csv Date","PSI 20 (PSI20)_history.csv Price","PSI 20 (PSI20)_history.csv Open","PSI 20 (PSI20)_history.csv High","PSI 20 (PSI20)_history.csv Low","PSI 20 (PSI20)_history.csv Volume"
"77",2010-09-08,7364.32,7391.25,7412.19,7326.84,"65860000"
"78",2010-09-09,7438.71,7364.57,7438.71,7352.85,"44390000"
"79",2010-09-10,7439.74,7415.03,7452.42,7413.21,"34470000"
"80",2010-09-13,7534.86,7481.6,7536.38,7481.6,"59960000"
"81",2010-09-14,7553.83,7532.78,7564.19,7522.3,"43490000"
"82",2010-09-15,7479.71,7553.7,7562.11,7469.6,"43830000"
"83",2010-09-16,7436.65,7492.75,7502.62,7436.65,"40960000"
"84",2010-09-17,7406.97,7477.96,7504.67,7365.09,"66620000"
"85",2010-09-20,7389.73,7429.03,7434.91,7320.67,"54510000"
"86",2010-09-21,7438.9,7381.01,7461.76,7359.31,"42780000"
"87",2010-09-22,7392.83,7430.73,7446.14,7370.16,"54030000"
"88",2010-09-23,7382.21,7399.79,7430.14,7321.55,"48300000"
"89",2010-09-24,7444.06,7361.78,7446.36,7344.16,"49020000"
"90",2010-09-27,7472.38,7459.14,7512.64,7448.45,"52270000"
"91",2010-09-28,7473.28,7415.39,7494.03,7411.37,"74330000"
"92",2010-09-29,7476,7511.74,7545.22,7463.82,"81160000"
"93",2010-09-30,7507.57,7452.48,7533.76,7437.55,"55610000"
"94",2010-10-01,7586.71,7550.21,7616.26,7545.76,"49590000"
"95",2010-10-04,7535.71,7573.93,7597.8,7535.71,"30410000"
"96",2010-10-05,7645.31,7531.2,7645.31,7529.74,"31960000"
"97",2010-10-06,7710.83,7666.7,7710.83,7662.52,"47540000"
"98",2010-10-07,7769.38,7690.62,7769.38,7688.19,"45110000"
"99",2010-10-08,7782.24,7759.75,7782.24,7724.53,"32300000"
"100",2010-10-11,7778.16,7773.12,7778.16,7743.49,"29140000"
"101",2010-10-12,7695.49,7727.26,7744.46,7679.2,"36620000"
"102",2010-10-13,7772.33,7709.35,7772.33,7707.23,"32610000"
"103",2010-10-14,7755.04,7770.63,7793.83,7722.07,"46040000"
"104",2010-10-15,7811.43,7770.14,7811.43,7756.05,"46250000"
"105",2010-10-18,7860.58,7784,7868.1,7779.32,"58560000"
"106",2010-10-19,7891.12,7861.84,7917.2,7861.5,"71630000"
