"","S&P ASX 200 (AXJO)_history.csv Date","S&P ASX 200 (AXJO)_history.csv Price","S&P ASX 200 (AXJO)_history.csv Open","S&P ASX 200 (AXJO)_history.csv High","S&P ASX 200 (AXJO)_history.csv Low","S&P ASX 200 (AXJO)_history.csv Volume"
"52",2009-03-17,3451.9,3351.6,3451.9,3350.5,"1.19e+09"
"53",2009-03-18,3446.3,3453.6,3487.5,3435.6,"1.46e+09"
"54",2009-03-19,3480.2,3454.6,3500.7,3454.6,"2.12e+09"
"55",2009-03-20,3465.8,3499.1,3499.2,3464,"1.46e+09"
"56",2009-03-23,3550.3,3469.9,3550.3,3456.2,"915480000"
"57",2009-03-24,3580,3579.3,3646.2,3574.9,"1.12e+09"
"58",2009-03-25,3609.3,3564,3626.3,3558.7,"1e+09"
"59",2009-03-26,3646.6,3610.9,3666.3,3603.7,"1e+09"
"60",2009-03-27,3672.3,3656.9,3706.6,3656.9,"1.14e+09"
"61",2009-03-30,3604.4,3658,3658.9,3592.8,"694720000"
"62",2009-03-31,3582.1,3586.8,3622.5,3570.5,"996550000"
"63",2009-04-01,3579.7,3583.6,3598.7,3550.9,"1.01e+09"
"64",2009-04-02,3680.2,3593.5,3703.2,3592.9,"1.21e+09"
"65",2009-04-03,3735.6,3704.6,3750.1,3704.6,"1.24e+09"
"66",2009-04-06,3756.6,3733.8,3763.1,3733.4,"1.07e+09"
"67",2009-04-07,3706.3,3742.6,3743.1,3704.5,"1.14e+09"
"68",2009-04-08,3619.5,3691.3,3691.3,3610.9,"887740000"
"69",2009-04-09,3671.6,3626.8,3675.2,3626.1,"719170000"
"70",2009-04-14,3752.9,3697,3775.3,3696.4,"884430000"
"71",2009-04-15,3747.5,3746.1,3763.3,3734.4,"888190000"
"72",2009-04-16,3775.7,3753.2,3804.2,3752.3,"928940000"
"73",2009-04-17,3776.7,3785.6,3851.2,3776.7,"1.03e+09"
"74",2009-04-20,3769,3777.9,3788,3731.7,"929700000"
"75",2009-04-21,3677.4,3740.3,3740.3,3661,"852760000"
"76",2009-04-22,3668.2,3689.6,3701.5,3661.2,"945960000"
"77",2009-04-23,3743,3677.1,3745.4,3675,"981270000"
"78",2009-04-24,3712.3,3744.6,3754.4,3687,"979730000"
"79",2009-04-27,3731.6,3725,3780.8,3680.6,"744800000"
"80",2009-04-28,3708.4,3728.6,3777.9,3701.1,"857840000"
"81",2009-04-29,3695.3,3694.6,3723.9,3679.8,"1.02e+09"
"82",2009-04-30,3780.5,3713.9,3799.3,3713.4,"1.13e+09"
"83",2009-05-01,3769.6,3771.4,3784,3754.2,"833100000"
"84",2009-05-04,3883,3781.5,3883,3781.5,"1e+09"
"85",2009-05-05,3890.4,3902.6,3943.4,3880.6,"1.24e+09"
"86",2009-05-06,3867.1,3890.2,3907.8,3851.9,"1.16e+09"
"87",2009-05-07,3938.7,3890.6,3954.2,3890.1,"1.41e+09"
"88",2009-05-08,3941.7,3919,3943.2,3906.6,"953730000"
"89",2009-05-11,3926,3943.2,3960.4,3901.4,"1.62e+09"
"90",2009-05-12,3877.2,3914.2,3914.2,3856.1,"1.16e+09"
"91",2009-05-13,3856.1,3877.7,3894.4,3838.6,"1.19e+09"
"92",2009-05-14,3723.4,3823.1,3823.4,3722.7,"1.24e+09"
"93",2009-05-15,3773.2,3743.4,3791.7,3741.9,"1.13e+09"
"94",2009-05-18,3735.6,3763.8,3763.8,3714.9,"774520000"
"95",2009-05-19,3817.3,3759.1,3821.2,3758.4,"1.1e+09"
"96",2009-05-20,3824.6,3826.1,3831.5,3791.5,"1.02e+09"
"97",2009-05-21,3813.9,3824.8,3830.3,3792.2,"1.14e+09"
"98",2009-05-22,3761.6,3795.5,3796.2,3751.8,"1e+09"
"99",2009-05-25,3737.9,3763.7,3784.5,3722,"834980000"
"100",2009-05-26,3788.4,3736.2,3788.4,3723.1,"1.02e+09"
"101",2009-05-27,3801.1,3798.9,3836.9,3798.5,"1.38e+09"
"102",2009-05-28,3755.7,3782.5,3783.2,3737.3,"1.14e+09"
"103",2009-05-29,3818,3774.2,3822.8,3771.2,"1.67e+09"
"104",2009-06-01,3894.4,3826.4,3895,3810.2,"1.27e+09"
"105",2009-06-02,3955.3,3912.2,3966.6,3912.2,"1.56e+09"
"106",2009-06-03,4017.2,3951.5,4017.2,3945.9,"1.62e+09"
"107",2009-06-04,3934.6,3993.3,3995,3926.4,"1.56e+09"
"108",2009-06-05,3971.2,3937.8,4021.3,3937.8,"1.54e+09"
"109",2009-06-09,3934.9,3959.2,3995.9,3934.9,"1.44e+09"
"110",2009-06-10,4024.4,3952.4,4024.4,3951.4,"1.52e+09"
"111",2009-06-11,4047.2,4021.5,4053,4019.2,"1.42e+09"
