"","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Date","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Price","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Open","Jakarta Stock Exchange Composite Index (JKSE)_history.csv High","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Low","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Volume"
"29",2009-02-13,1338.74,1326.87,1342.76,1325.56,"1.73e+09"
"30",2009-02-16,1342,1338.81,1346.17,1336.52,"1.12e+09"
"31",2009-02-17,1318.04,1338.82,1338.82,1311.47,"1.54e+09"
"32",2009-02-18,1330.61,1312.48,1331.64,1304.35,"1.44e+09"
"33",2009-02-19,1323.7,1330.81,1330.81,1313.72,"2.36e+09"
"34",2009-02-20,1296.94,1320.62,1320.62,1291.41,"1.88e+09"
"35",2009-02-23,1312.44,1298.29,1312.44,1294.38,"1.18e+09"
"36",2009-02-24,1295.87,1305.7,1305.7,1286.73,"943030000"
"37",2009-02-25,1300.11,1301.08,1312.34,1290.17,"2.04e+09"
"38",2009-02-26,1290.32,1303.75,1303.75,1281.77,"1.96e+09"
"39",2009-02-27,1285.48,1292.28,1293.95,1281.07,"1.04e+09"
"40",2009-03-02,1256.11,1285.48,1285.31,1252.87,"1.07e+09"
"41",2009-03-03,1264.82,1256.11,1270.95,1244.87,"1.22e+09"
"42",2009-03-04,1289.38,1264.82,1289.8,1261.5,"1.32e+09"
"43",2009-03-05,1288.07,1289.38,1300.2,1282.22,"1.35e+09"
"44",2009-03-06,1286.69,1288.07,1290.62,1278.86,"583870000"
"45",2009-03-10,1300.21,1286.69,1300.54,1282.63,"729600000"
"46",2009-03-11,1314.52,1300.21,1319.51,1300.52,"1.37e+09"
"47",2009-03-12,1310.41,1314.52,1318.15,1305.26,"727310000"
"48",2009-03-13,1327.44,1310.41,1333.22,1310.67,"1.2e+09"
"49",2009-03-16,1324.85,1327.44,1340.99,1322.48,"1.02e+09"
"50",2009-03-17,1312.09,1324.85,1326.11,1308.39,"1.04e+09"
"51",2009-03-18,1322.84,1312.09,1324.08,1312.4,"1.18e+09"
"52",2009-03-19,1341.6,1322.84,1347.12,1322.87,"1.28e+09"
"53",2009-03-20,1360.89,1341.6,1364.31,1341.15,"1.63e+09"
"54",2009-03-23,1406.65,1360.89,1407.59,1361.15,"2.66e+09"
"55",2009-03-24,1436.12,1406.65,1449.95,1408.16,"3.67e+09"
"56",2009-03-25,1419.97,1436.12,1448.47,1418.26,"2.81e+09"
"57",2009-03-27,1462.74,1419.97,1467.52,1422.63,"2.83e+09"
"58",2009-03-30,1419.09,1462.74,1463.59,1404.38,"1.76e+09"
"59",2009-03-31,1434.07,1419.09,1453.77,1417.34,"1.56e+09"
"60",2009-04-01,1461.75,1434.07,1464.39,1434.09,"2.51e+09"
"61",2009-04-02,1499.73,1461.75,1500,1461.81,"3.22e+09"
"62",2009-04-03,1500.36,1499.73,1511.33,1494.12,"3.03e+09"
"63",2009-04-06,1516.64,1500.36,1527.18,1500.45,"2.85e+09"
"64",2009-04-07,1490.86,1516.64,1516.57,1483.72,"2.93e+09"
"65",2009-04-08,1465.75,1490.86,1491.11,1460.04,"3.1e+09"
"66",2009-04-13,1540.4,1465.75,1540.52,1473.73,"4.72e+09"
"67",2009-04-14,1570.26,1540.4,1573.4,1536.67,"8.15e+09"
"68",2009-04-15,1593.66,1570.26,1603.31,1564.94,"9.59e+09"
"69",2009-04-16,1625.09,1593.66,1641.8,1593.78,"1.819e+10"
"70",2009-04-17,1634.79,1625.09,1659.34,1619.34,"1.063e+10"
"71",2009-04-20,1661.84,1634.79,1661.84,1618.88,"1.974e+10"
"72",2009-04-21,1628.85,1661.84,1661.78,1606.32,"2.208e+10"
"73",2009-04-22,1615.23,1628.85,1674.92,1610.46,"1.454e+10"
"74",2009-04-23,1592.7,1615.23,1615.25,1585.92,"7.34e+09"
"75",2009-04-24,1591.34,1592.7,1609.97,1576.29,"8.67e+09"
"76",2009-04-27,1576.08,1591.34,1598.96,1574.23,"5.93e+09"
"77",2009-04-28,1595.92,1576.08,1618.06,1576.11,"6.89e+09"
"78",2009-04-29,1644.19,1595.92,1648.63,1595.97,"6.96e+09"
"79",2009-04-30,1722.77,1644.19,1728.07,1644.24,"1.629e+10"
"80",2009-05-01,1729.58,1722.77,1738.71,1701.99,"1.132e+10"
"81",2009-05-04,1788.15,1729.58,1796.71,1729.6,"1.066e+10"
"82",2009-05-05,1772.07,1788.15,1823.38,1759.48,"1.13e+10"
"83",2009-05-06,1798.34,1772.07,1799.62,1761.11,"9.01e+09"
"84",2009-05-07,1828.85,1798.34,1840.48,1800.38,"1.689e+10"
"85",2009-05-08,1862.53,1828.85,1863.63,1821.14,"1.777e+10"
"86",2009-05-11,1830.74,1862.53,1891.77,1827.16,"2.257e+10"
"87",2009-05-12,1842.02,1830.74,1842.73,1796.94,"1.385e+10"
"88",2009-05-13,1851.33,1842.02,1871.82,1834.3,"2.876e+10"
"89",2009-05-14,1785,1851.33,1851.2,1776.94,"2.709e+10"
"90",2009-05-15,1750.91,1785,1820.85,1708.39,"1.816e+10"
"91",2009-05-18,1803.57,1750.49,1804.87,1712.64,"1.373e+10"
"92",2009-05-19,1886.02,1805.43,1888.22,1805.43,"1.584e+10"
"93",2009-05-20,1885.72,1886.22,1907.49,1872.26,"6.69e+09"
"94",2009-05-22,1881.71,1885.41,1889.88,1858.08,"6.33e+09"
"95",2009-05-25,1890.97,1881.4,1898.05,1878.65,"7.11e+09"
"96",2009-05-26,1857.59,1891.18,1905.91,1852.02,"9.1e+09"
"97",2009-05-27,1892.84,1858.41,1902.08,1858.41,"7.32e+09"
"98",2009-05-28,1902.88,1892.74,1904.62,1878.47,"6.2e+09"
"99",2009-05-29,1916.83,1903.19,1941.79,1903.19,"1.284e+10"
"100",2009-06-01,1998.58,1917.45,1998.58,1917.45,"9.06e+09"
"101",2009-06-02,1998.64,1999.2,2043.95,1991.96,"1.175e+10"
"102",2009-06-03,2010.91,1999.16,2027.69,1993.08,"5.63e+09"
"103",2009-06-04,2032.72,2010.81,2033.05,1989.79,"5.78e+09"
"104",2009-06-05,2078.93,2033.03,2078.93,2033.03,"7.55e+09"
"105",2009-06-08,2056.65,2079.77,2099.08,2052.03,"8.57e+09"
"106",2009-06-09,2093.29,2057.07,2096.93,2057.03,"6.59e+09"
"107",2009-06-10,2108.81,2094.14,2116.17,2094.14,"1.247e+10"
"108",2009-06-11,2089.58,2108.5,2112.84,2077.45,"1.48e+10"
"109",2009-06-12,2090.94,2089.79,2106.98,2073.34,"8.46e+09"
"110",2009-06-15,2069.88,2090.74,2100.77,2060.62,"6.05e+09"
"111",2009-06-16,2030.37,2069.46,2069.46,1995.57,"7.63e+09"
"112",2009-06-17,2024.96,2029.95,2034.32,2009.43,"5.82e+09"
"113",2009-06-18,1950.99,2024.65,2025.12,1940.32,"8.36e+09"
"114",2009-06-19,1990.47,1951.83,1993.24,1922.86,"7.39e+09"
"115",2009-06-22,1975.03,1990.68,2011.7,1965.39,"8.41e+09"
"116",2009-06-23,1914.39,1973.99,1973.99,1888.82,"6.86e+09"
"117",2009-06-24,1995.67,1913.96,1995.67,1913.96,"7.08e+09"
"118",2009-06-25,2044.17,1996.09,2045.67,1996.09,"7.59e+09"
"119",2009-06-26,2040.19,2044.38,2066.31,2026.74,"3.75e+09"
"120",2009-06-29,2033.72,2040.46,2049.85,2021.36,"2.74e+09"
"121",2009-06-30,2026.78,2034.98,2060.73,2020.69,"3.82e+09"
"122",2009-07-01,2059.88,2026.88,2059.89,2023.85,"3.86e+09"
"123",2009-07-02,2065.75,2060.09,2085.45,2056.75,"4.62e+09"
"124",2009-07-03,2075.3,2065.55,2078.05,2039.08,"3.02e+09"
"125",2009-07-06,2035.01,2074.88,2074.88,2023.97,"2.9e+09"
"126",2009-07-07,2083.25,2034.89,2083.25,2034.89,"4.89e+09"
"127",2009-07-09,2083.97,2083.45,2116.86,2060.48,"7.11e+09"
"128",2009-07-10,2063.09,2084.81,2090.58,2058.32,"4.13e+09"
"129",2009-07-13,2020.14,2062.68,2063.95,1992.38,"3.75e+09"
"130",2009-07-14,2056.58,2020.64,2059.84,2020.64,"3.94e+09"
"131",2009-07-15,2123.28,2056.99,2123.46,2056.99,"4.93e+09"
"132",2009-07-16,2117.95,2123.79,2154.88,2112.93,"5.14e+09"
"133",2009-07-17,2106.35,2117.13,2126.51,2060.62,"4.35e+09"
"134",2009-07-21,2146.55,2107.07,2157.49,2107.07,"4.1e+09"
"135",2009-07-22,2125.61,2146.86,2156.42,2119.51,"6.89e+09"
"136",2009-07-23,2160.72,2125.72,2162.75,2125.72,"3.95e+09"
"137",2009-07-24,2185.65,2161.13,2199.22,2161.13,"3.96e+09"
"138",2009-07-27,2209.1,2186.07,2213.62,2186.07,"4.73e+09"
"139",2009-07-28,2237.1,2209.52,2240.64,2201.19,"6.9e+09"
"140",2009-07-29,2225.81,2236.9,2241.63,2190.41,"5.28e+09"
"141",2009-07-30,2298.14,2224.56,2298.77,2218.43,"9.14e+09"
"142",2009-07-31,2323.24,2298.65,2332.76,2298.65,"1.333e+10"
"143",2009-08-03,2338.8,2323.85,2350.68,2323.85,"1.032e+10"
"144",2009-08-04,2360.09,2339,2382.1,2339,"1.3e+10"
"145",2009-08-05,2317.06,2360.51,2362.77,2308.63,"1.137e+10"
"146",2009-08-06,2359.98,2317.37,2360.05,2309.99,"1.437e+10"
"147",2009-08-07,2349.13,2359.56,2366.96,2333.74,"1.119e+10"
"148",2009-08-10,2389.56,2349.75,2394.32,2349.75,"1.591e+10"
"149",2009-08-11,2399.28,2389.46,2404.74,2370.68,"1.455e+10"
"150",2009-08-12,2347.36,2399.17,2399.17,2326.81,"8.68e+09"
"151",2009-08-13,2396.49,2347.98,2408.88,2347.98,"1.101e+10"
"152",2009-08-14,2386.86,2397.63,2411.9,2370.09,"6.12e+09"
"153",2009-08-18,2336.99,2384.8,2384.8,2296.96,"8.14e+09"
"154",2009-08-19,2277.75,2337.19,2351.18,2271.21,"7.57e+09"
"155",2009-08-20,2328.64,2279.2,2330.7,2279.2,"5.91e+09"
"156",2009-08-21,2333.9,2328.43,2346.83,2313.77,"3.41e+09"
"157",2009-08-24,2375.87,2335.75,2379.91,2335.75,"4.72e+09"
"158",2009-08-25,2380.52,2375.67,2382.41,2351.86,"4.68e+09"
"159",2009-08-26,2380.09,2379.8,2387.38,2366.28,"6.74e+09"
"160",2009-08-27,2356.06,2379.67,2379.67,2338.69,"6.06e+09"
"161",2009-08-28,2377.25,2356.58,2378.11,2355.97,"4.44e+09"
"162",2009-08-31,2341.54,2377.45,2378.29,2333.31,"4.69e+09"
"163",2009-09-01,2326.91,2341.43,2355.81,2325.47,"3.87e+09"
"164",2009-09-02,2285.93,2325.88,2325.88,2272.76,"4.55e+09"
"165",2009-09-03,2322.25,2286.23,2329.28,2284.93,"5.79e+09"
"166",2009-09-04,2322.74,2322.56,2333.95,2316.05,"3.58e+09"
"167",2009-09-07,2340.39,2323.16,2342.16,2323.16,"3.79e+09"
"168",2009-09-08,2371.3,2340.7,2371.4,2333.87,"4.65e+09"
"169",2009-09-09,2383.34,2371.51,2389.79,2364.65,"3.52e+09"
"170",2009-09-10,2411.86,2383.75,2422.58,2383.75,"4.74e+09"
"171",2009-09-11,2415.95,2412.18,2425.39,2408.41,"4.84e+09"
"172",2009-09-14,2382.7,2415.11,2415.11,2377.03,"2.7e+09"
"173",2009-09-15,2420.11,2382.97,2420.82,2382.97,"4.34e+09"
"174",2009-09-16,2439.36,2420.31,2442.14,2420.31,"3.91e+09"
"175",2009-09-17,2456.99,2440.18,2474.79,2440.18,"5.24e+09"
"176",2009-09-24,2468.9,2457.29,2482.85,2454.86,"2.37e+09"
"177",2009-09-25,2444.58,2468.18,2468.18,2432.44,"1.84e+09"
"178",2009-09-28,2397.83,2444.38,2444.38,2394.77,"2.56e+09"
"179",2009-09-29,2443.83,2398.55,2444.47,2398.55,"3.03e+09"
"180",2009-09-30,2467.59,2444.25,2471.88,2435.02,"2.99e+09"
"181",2009-10-01,2477.97,2467.9,2484.68,2467.64,"2.76e+09"
"182",2009-10-02,2479.85,2477.56,2493.36,2433.07,"4.43e+09"
"183",2009-10-05,2480.41,2479.13,2486.08,2454.04,"6.08e+09"
"184",2009-10-06,2528.15,2480.83,2533.06,2480.83,"5.75e+09"
"185",2009-10-07,2513.41,2528.76,2559.67,2499.42,"6.18e+09"
"186",2009-10-08,2484.52,2513.82,2524.15,2472.63,"4.51e+09"
"187",2009-10-09,2474.4,2484.94,2489.92,2464.61,"2.77e+09"
"188",2009-10-12,2456.69,2474.82,2480.76,2446.47,"2.7e+09"
"189",2009-10-13,2471.99,2457.1,2486.13,2456.98,"2.92e+09"
"190",2009-10-14,2511.72,2472.3,2512.13,2472.3,"3.56e+09"
"191",2009-10-15,2515.38,2512.34,2537.64,2506.04,"4.02e+09"
"192",2009-10-16,2515.81,2515.59,2520.89,2501.79,"1.88e+09"
"193",2009-10-19,2520.92,2515.5,2521.56,2497.32,"1.79e+09"
"194",2009-10-20,2502.22,2521.34,2531.79,2493.78,"2.97e+09"
"195",2009-10-21,2476.8,2501.39,2501.39,2462.03,"3.44e+09"
"196",2009-10-22,2433.18,2476.38,2476.81,2421.51,"3.77e+09"
"197",2009-10-23,2467.95,2433.49,2469.14,2429.56,"4.46e+09"
"198",2009-10-26,2467.71,2468.48,2475.91,2456.42,"3.44e+09"
"199",2009-10-27,2425.2,2466.88,2466.88,2417.47,"4.32e+09"
"200",2009-10-28,2355.31,2424.41,2426.78,2336.8,"5.01e+09"
"201",2009-10-29,2344.03,2354.7,2354.7,2235.39,"6.92e+09"
"202",2009-10-30,2367.7,2345.06,2402.42,2345.06,"5.31e+09"
"203",2009-11-02,2371.64,2365.65,2373.2,2294.56,"4.42e+09"
"204",2009-11-03,2334.11,2371.95,2386.18,2328.45,"3.67e+09"
"205",2009-11-04,2371.86,2334.94,2371.9,2334.94,"4.08e+09"
"206",2009-11-05,2367.21,2371.65,2376.26,2355.44,"3e+09"
"207",2009-11-06,2395.11,2367.63,2403.27,2367.63,"2.89e+09"
"208",2009-11-09,2406.43,2395.41,2406.92,2380.49,"2.28e+09"
"209",2009-11-10,2381.96,2406.74,2432.33,2372.04,"3.6e+09"
"210",2009-11-11,2403.88,2382.58,2414.91,2380.27,"5.6e+09"
