Date;Transactions;;;;
03/12/2009 00:00;85.0;;;;
05/12/2009 00:00;52.0;;;;
07/12/2009 00:00;94.0;;;;
09/12/2009 00:00;104.0;;;;
11/12/2009 00:00;125.0;;;;
13/12/2009 00:00;104.0;;;;
15/12/2009 00:00;117.0;;;;
17/12/2009 00:00;163.0;;;;
19/12/2009 00:00;225.0;;;;
21/12/2009 00:00;188.0;;;;
23/12/2009 00:00;169.0;;;;
25/12/2009 00:00;158.0;;;;
27/12/2009 00:00;170.0;;;;
29/12/2009 00:00;164.0;;;;
31/12/2009 00:00;150.0;;;;
02/01/2010 00:00;132.0;;;;
04/01/2010 00:00;192.0;;;;
06/01/2010 00:00;158.0;;;;
08/01/2010 00:00;150.0;;;;
10/01/2010 00:00;191.0;;;;
12/01/2010 00:00;168.0;;;;
14/01/2010 00:00;159.0;;;;
16/01/2010 00:00;135.0;;;;
18/01/2010 00:00;130.0;;;;
20/01/2010 00:00;140.0;;;;
22/01/2010 00:00;152.0;;;;
24/01/2010 00:00;148.0;;;;
26/01/2010 00:00;208.0;;;;
28/01/2010 00:00;176.0;;;;
30/01/2010 00:00;183.0;;;;
01/02/2010 00:00;189.0;;;;
03/02/2010 00:00;246.0;;;;
05/02/2010 00:00;250.0;;;;
07/02/2010 00:00;210.0;;;;
09/02/2010 00:00;211.0;;;;
11/02/2010 00:00;181.0;;;;
13/02/2010 00:00;227.0;;;;
15/02/2010 00:00;194.0;;;;
17/02/2010 00:00;244.0;;;;
19/02/2010 00:00;183.0;;;;
21/02/2010 00:00;218.0;;;;
23/02/2010 00:00;252.0;;;;
25/02/2010 00:00;150.0;;;;
27/02/2010 00:00;176.0;;;;
01/03/2010 00:00;187.0;;;;
03/03/2010 00:00;151.0;;;;
05/03/2010 00:00;178.0;;;;
07/03/2010 00:00;178.0;;;;
09/03/2010 00:00;149.0;;;;
11/03/2010 00:00;154.0;;;;
13/03/2010 00:00;160.0;;;;
15/03/2010 00:00;128.0;;;;
17/03/2010 00:00;127.0;;;;
19/03/2010 00:00;144.0;;;;
21/03/2010 00:00;191.0;;;;
23/03/2010 00:00;215.0;;;;
25/03/2010 00:00;197.0;;;;
27/03/2010 00:00;182.0;;;;
29/03/2010 00:00;205.0;;;;
31/03/2010 00:00;213.0;;;;
02/04/2010 00:00;155.0;;;;
04/04/2010 00:00;175.0;;;;
06/04/2010 00:00;175.0;;;;
08/04/2010 00:00;208.0;;;;
10/04/2010 00:00;294.0;;;;
12/04/2010 00:00;270.0;;;;
14/04/2010 00:00;230.0;;;;
16/04/2010 00:00;234.0;;;;
18/04/2010 00:00;1337.0;;;;
20/04/2010 00:00;242.0;;;;
22/04/2010 00:00;210.0;;;;
24/04/2010 00:00;191.0;;;;
26/04/2010 00:00;220.0;;;;
28/04/2010 00:00;219.0;;;;
30/04/2010 00:00;181.0;;;;
02/05/2010 00:00;197.0;;;;
04/05/2010 00:00;151.0;;;;
06/05/2010 00:00;173.0;;;;
08/05/2010 00:00;170.0;;;;
10/05/2010 00:00;161.0;;;;
12/05/2010 00:00;147.0;;;;
14/05/2010 00:00;148.0;;;;
16/05/2010 00:00;118.0;;;;
18/05/2010 00:00;217.0;;;;
20/05/2010 00:00;221.0;;;;
22/05/2010 00:00;227.0;;;;
24/05/2010 00:00;262.0;;;;
26/05/2010 00:00;259.0;;;;
28/05/2010 00:00;265.0;;;;
30/05/2010 00:00;200.0;;;;
01/06/2010 00:00;178.0;;;;
03/06/2010 00:00;219.0;;;;
05/06/2010 00:00;188.0;;;;
07/06/2010 00:00;211.0;;;;
09/06/2010 00:00;199.0;;;;
11/06/2010 00:00;248.0;;;;
13/06/2010 00:00;221.0;;;;
15/06/2010 00:00;288.0;;;;
17/06/2010 00:00;208.0;;;;
19/06/2010 00:00;218.0;;;;
21/06/2010 00:00;242.0;;;;
23/06/2010 00:00;242.0;;;;
25/06/2010 00:00;227.0;;;;
27/06/2010 00:00;215.0;;;;
29/06/2010 00:00;253.0;;;;
01/07/2010 00:00;273.0;;;;
03/07/2010 00:00;283.0;;;;
05/07/2010 00:00;243.0;;;;
07/07/2010 00:00;209.0;;;;
09/07/2010 00:00;258.0;;;;
11/07/2010 00:00;242.0;;;;
13/07/2010 00:00;1739.0;;;;
15/07/2010 00:00;1793.0;;;;
17/07/2010 00:00;462.0;;;;
19/07/2010 00:00;487.0;;;;
21/07/2010 00:00;465.0;;;;
23/07/2010 00:00;392.0;;;;
25/07/2010 00:00;2337.0;;;;
27/07/2010 00:00;445.0;;;;
29/07/2010 00:00;3455.0;;;;
31/07/2010 00:00;295.0;;;;
02/08/2010 00:00;413.0;;;;
04/08/2010 00:00;375.0;;;;
06/08/2010 00:00;368.0;;;;
08/08/2010 00:00;323.0;;;;
10/08/2010 00:00;402.0;;;;
12/08/2010 00:00;407.0;;;;
14/08/2010 00:00;424.0;;;;
16/08/2010 00:00;318.0;;;;
18/08/2010 00:00;377.0;;;;
20/08/2010 00:00;398.0;;;;
22/08/2010 00:00;350.0;;;;
24/08/2010 00:00;337.0;;;;
26/08/2010 00:00;374.0;;;;
28/08/2010 00:00;348.0;;;;
30/08/2010 00:00;288.0;;;;
01/09/2010 00:00;408.0;;;;
03/09/2010 00:00;314.0;;;;
05/09/2010 00:00;303.0;;;;
07/09/2010 00:00;271.0;;;;
09/09/2010 00:00;343.0;;;;
11/09/2010 00:00;296.0;;;;
13/09/2010 00:00;436.0;;;;
15/09/2010 00:00;450.0;;;;
17/09/2010 00:00;379.0;;;;
