Monat,Ethereum: (Weltweit)
2011-01-28,0
2011-02-28,0
2011-03-28,0
2011-04-28,0
2011-05-28,0
2011-06-28,0
2011-07-28,0
2011-08-28,0
2011-09-28,0
2011-10-28,0
2011-11-28,0
2011-12-28,0
2012-01-28,0
2012-02-28,0
2012-03-28,0
2012-04-28,0
2012-05-28,0
2012-06-28,0
2012-07-28,0
2012-08-28,0
2012-09-28,0
2012-10-28,0
2012-11-28,0
2012-12-28,0
2013-01-28,0
2013-02-28,0
2013-03-28,0
2013-04-28,0
2013-05-28,0
2013-06-28,0
2013-07-28,0
2013-08-28,0
2013-09-28,0
2013-10-28,0
2013-11-28,0
2013-12-28,0
2014-01-28,0
2014-02-28,0
2014-03-28,0
2014-04-28,0
2014-05-28,0
2014-06-28,0
2014-07-28,1
2014-08-28,1
2014-09-28,0
2014-10-28,0
2014-11-28,1
2014-12-28,0
2015-01-28,0
2015-02-28,1
2015-03-28,1
2015-04-28,0
2015-05-28,1
2015-06-28,0
2015-07-28,1
2015-08-28,2
2015-09-28,1
2015-10-28,1
2015-11-28,2
2015-12-28,1
2016-01-28,3
2016-02-28,8
2016-03-28,14
2016-04-28,10
2016-05-28,11
2016-06-28,20
2016-07-28,17
2016-08-28,14
2016-09-28,9
2016-10-28,9
2016-11-28,7
2016-12-28,7
2017-01-28,8
2017-02-28,10
2017-03-28,31
2017-04-28,21
2017-05-28,59
2017-06-28,100
2017-07-28,68
2017-08-28,53
2017-09-28,50
2017-10-28,46
2017-11-28,79
