project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ethereum,daily,2015100500,all-access,all-agents,610
en.wikipedia,Ethereum,daily,2015100600,all-access,all-agents,687
en.wikipedia,Ethereum,daily,2015100700,all-access,all-agents,677
en.wikipedia,Ethereum,daily,2015100800,all-access,all-agents,605
en.wikipedia,Ethereum,daily,2015100900,all-access,all-agents,581
en.wikipedia,Ethereum,daily,2015101000,all-access,all-agents,495
en.wikipedia,Ethereum,daily,2015101100,all-access,all-agents,462
en.wikipedia,Ethereum,daily,2015101200,all-access,all-agents,671
en.wikipedia,Ethereum,daily,2015101300,all-access,all-agents,706
en.wikipedia,Ethereum,daily,2015101400,all-access,all-agents,602
en.wikipedia,Ethereum,daily,2015101500,all-access,all-agents,560
en.wikipedia,Ethereum,daily,2015101600,all-access,all-agents,490
en.wikipedia,Ethereum,daily,2015101700,all-access,all-agents,344
en.wikipedia,Ethereum,daily,2015101800,all-access,all-agents,347
en.wikipedia,Ethereum,daily,2015101900,all-access,all-agents,712
en.wikipedia,Ethereum,daily,2015102000,all-access,all-agents,574
en.wikipedia,Ethereum,daily,2015102100,all-access,all-agents,598
en.wikipedia,Ethereum,daily,2015102200,all-access,all-agents,540
en.wikipedia,Ethereum,daily,2015102300,all-access,all-agents,473
en.wikipedia,Ethereum,daily,2015102400,all-access,all-agents,435
en.wikipedia,Ethereum,daily,2015102500,all-access,all-agents,451
en.wikipedia,Ethereum,daily,2015102600,all-access,all-agents,607
en.wikipedia,Ethereum,daily,2015102700,all-access,all-agents,684
en.wikipedia,Ethereum,daily,2015102800,all-access,all-agents,916
en.wikipedia,Ethereum,daily,2015102900,all-access,all-agents,859
en.wikipedia,Ethereum,daily,2015103000,all-access,all-agents,764
en.wikipedia,Ethereum,daily,2015103100,all-access,all-agents,605
en.wikipedia,Ethereum,daily,2015110100,all-access,all-agents,584
en.wikipedia,Ethereum,daily,2015110200,all-access,all-agents,822
en.wikipedia,Ethereum,daily,2015110300,all-access,all-agents,741
en.wikipedia,Ethereum,daily,2015110400,all-access,all-agents,826
en.wikipedia,Ethereum,daily,2015110500,all-access,all-agents,685
en.wikipedia,Ethereum,daily,2015110600,all-access,all-agents,709
en.wikipedia,Ethereum,daily,2015110700,all-access,all-agents,446
en.wikipedia,Ethereum,daily,2015110800,all-access,all-agents,527
en.wikipedia,Ethereum,daily,2015110900,all-access,all-agents,730
en.wikipedia,Ethereum,daily,2015111000,all-access,all-agents,684
en.wikipedia,Ethereum,daily,2015111100,all-access,all-agents,940
en.wikipedia,Ethereum,daily,2015111200,all-access,all-agents,841
en.wikipedia,Ethereum,daily,2015111300,all-access,all-agents,731
en.wikipedia,Ethereum,daily,2015111400,all-access,all-agents,642
en.wikipedia,Ethereum,daily,2015111500,all-access,all-agents,648
en.wikipedia,Ethereum,daily,2015111600,all-access,all-agents,809
en.wikipedia,Ethereum,daily,2015111700,all-access,all-agents,703
en.wikipedia,Ethereum,daily,2015111800,all-access,all-agents,647
en.wikipedia,Ethereum,daily,2015111900,all-access,all-agents,689
en.wikipedia,Ethereum,daily,2015112000,all-access,all-agents,650
en.wikipedia,Ethereum,daily,2015112100,all-access,all-agents,401
en.wikipedia,Ethereum,daily,2015112200,all-access,all-agents,514
en.wikipedia,Ethereum,daily,2015112300,all-access,all-agents,757
en.wikipedia,Ethereum,daily,2015112400,all-access,all-agents,652
en.wikipedia,Ethereum,daily,2015112500,all-access,all-agents,675
en.wikipedia,Ethereum,daily,2015112600,all-access,all-agents,576
en.wikipedia,Ethereum,daily,2015112700,all-access,all-agents,672
en.wikipedia,Ethereum,daily,2015112800,all-access,all-agents,435
en.wikipedia,Ethereum,daily,2015112900,all-access,all-agents,508
en.wikipedia,Ethereum,daily,2015113000,all-access,all-agents,729
en.wikipedia,Ethereum,daily,2015120100,all-access,all-agents,583
en.wikipedia,Ethereum,daily,2015120200,all-access,all-agents,626
en.wikipedia,Ethereum,daily,2015120300,all-access,all-agents,621
en.wikipedia,Ethereum,daily,2015120400,all-access,all-agents,543
en.wikipedia,Ethereum,daily,2015120500,all-access,all-agents,600
en.wikipedia,Ethereum,daily,2015120600,all-access,all-agents,612
en.wikipedia,Ethereum,daily,2015120700,all-access,all-agents,752
en.wikipedia,Ethereum,daily,2015120800,all-access,all-agents,669
en.wikipedia,Ethereum,daily,2015120900,all-access,all-agents,825
en.wikipedia,Ethereum,daily,2015121000,all-access,all-agents,746
en.wikipedia,Ethereum,daily,2015121100,all-access,all-agents,660
en.wikipedia,Ethereum,daily,2015121200,all-access,all-agents,565
