"","GBP_USD_history.csv Date","GBP_USD_history.csv Price","GBP_USD_history.csv Open","GBP_USD_history.csv High","GBP_USD_history.csv Low"
"42",2009-02-27,1.4365,1.4298,1.4365,1.4113
"43",2009-03-02,1.4039,1.4224,1.4291,1.396
"44",2009-03-03,1.4029,1.4042,1.4159,1.3986
"45",2009-03-04,1.4178,1.403,1.4202,1.3988
"46",2009-03-05,1.4132,1.4179,1.4235,1.4039
"47",2009-03-06,1.4042,1.4132,1.4307,1.4042
"48",2009-03-09,1.3794,1.4164,1.4184,1.3745
"49",2009-03-10,1.3796,1.3793,1.3892,1.3693
"50",2009-03-11,1.384,1.3794,1.3891,1.3657
"51",2009-03-12,1.3926,1.384,1.3986,1.3703
"52",2009-03-13,1.4072,1.3925,1.4072,1.3866
"53",2009-03-16,1.4077,1.396,1.4232,1.3946
"54",2009-03-17,1.4062,1.4076,1.4141,1.3967
"55",2009-03-18,1.4287,1.406,1.4337,1.3847
"56",2009-03-19,1.4499,1.4285,1.4598,1.4164
"57",2009-03-20,1.4396,1.4499,1.4592,1.4396
"58",2009-03-23,1.4569,1.4478,1.465,1.4452
"59",2009-03-24,1.4705,1.4568,1.4779,1.4559
"60",2009-03-25,1.4556,1.4705,1.4746,1.4517
"61",2009-03-26,1.4465,1.4556,1.4639,1.4425
"62",2009-03-27,1.427,1.4465,1.4497,1.427
"63",2009-03-30,1.426,1.428,1.4297,1.4113
"64",2009-03-31,1.436,1.426,1.4378,1.4242
"65",2009-04-01,1.447,1.4361,1.4482,1.4276
"66",2009-04-02,1.4744,1.4471,1.475,1.4459
"67",2009-04-03,1.4848,1.4745,1.4848,1.4652
"68",2009-04-06,1.4657,1.4888,1.496,1.4657
