"","EUR_USD_history.csv Date","EUR_USD_history.csv Price","EUR_USD_history.csv Open","EUR_USD_history.csv High","EUR_USD_history.csv Low"
"1",2009-01-01,1.399,1.3967,1.4002,1.3948
"2",2009-01-02,1.3879,1.3993,1.4058,1.384
"3",2009-01-05,1.3605,1.3902,1.3965,1.3546
"4",2009-01-06,1.351,1.3611,1.3659,1.3312
"5",2009-01-07,1.3634,1.3529,1.3748,1.343
"6",2009-01-08,1.3727,1.3651,1.38,1.3533
"7",2009-01-09,1.344,1.371,1.3752,1.3415
"8",2009-01-12,1.3371,1.3474,1.3476,1.3287
"9",2009-01-13,1.3196,1.3361,1.3375,1.3142
"10",2009-01-14,1.3162,1.319,1.3336,1.3092
"11",2009-01-15,1.3154,1.3184,1.3242,1.3026
"12",2009-01-16,1.3304,1.3127,1.3344,1.311
"13",2009-01-19,1.3112,1.3327,1.3386,1.31
"14",2009-01-20,1.2889,1.309,1.3105,1.2856
"15",2009-01-21,1.3041,1.2907,1.307,1.2826
"16",2009-01-22,1.2986,1.3051,1.3085,1.2908
"17",2009-01-23,1.2992,1.3004,1.3036,1.2766
"18",2009-01-26,1.3166,1.2969,1.3207,1.286
"19",2009-01-27,1.3178,1.3181,1.333,1.3118
"20",2009-01-28,1.3138,1.3164,1.3327,1.3103
"21",2009-01-29,1.2959,1.3154,1.318,1.2933
"22",2009-01-30,1.2782,1.2954,1.2961,1.2778
"23",2009-02-02,1.2851,1.2769,1.29,1.2706
"24",2009-02-03,1.3037,1.2849,1.3058,1.2801
"25",2009-02-04,1.283,1.3028,1.307,1.2812
"26",2009-02-05,1.2786,1.2854,1.2906,1.2759
"27",2009-02-06,1.2933,1.2797,1.2994,1.2749
"28",2009-02-09,1.301,1.2961,1.3094,1.2872
"29",2009-02-10,1.2898,1.3012,1.3075,1.2809
"30",2009-02-11,1.2896,1.2916,1.3,1.2832
"31",2009-02-12,1.2864,1.2902,1.2944,1.2723
"32",2009-02-13,1.2862,1.287,1.2944,1.2818
"33",2009-02-16,1.2778,1.2788,1.2826,1.2727
"34",2009-02-17,1.2591,1.2792,1.2811,1.2563
"35",2009-02-18,1.2539,1.2583,1.2641,1.2513
"36",2009-02-19,1.2663,1.2534,1.276,1.2525
"37",2009-02-20,1.2843,1.2671,1.2885,1.2558
"38",2009-02-23,1.2708,1.2797,1.2992,1.2691
"39",2009-02-24,1.284,1.2694,1.2877,1.2661
"40",2009-02-25,1.271,1.2843,1.2904,1.2692
"41",2009-02-26,1.2731,1.2718,1.281,1.2682
"42",2009-02-27,1.2669,1.2744,1.2752,1.2603
"43",2009-03-02,1.2584,1.2626,1.2636,1.2545
"44",2009-03-03,1.2567,1.2578,1.2679,1.2521
"45",2009-03-04,1.2637,1.2557,1.2658,1.2456
"46",2009-03-05,1.2561,1.266,1.2664,1.2479
"47",2009-03-06,1.2641,1.2546,1.2755,1.253
"48",2009-03-09,1.2611,1.2668,1.2729,1.2553
"49",2009-03-10,1.2671,1.2603,1.2822,1.2577
"50",2009-03-11,1.2829,1.2683,1.2866,1.2617
"51",2009-03-12,1.2912,1.2842,1.2948,1.2732
"52",2009-03-13,1.2925,1.2916,1.2959,1.2864
"53",2009-03-16,1.2966,1.2884,1.3071,1.2835
"54",2009-03-17,1.3013,1.2982,1.3033,1.2929
"55",2009-03-18,1.3508,1.3015,1.352,1.2987
"56",2009-03-19,1.3666,1.3519,1.3739,1.3418
"57",2009-03-20,1.3583,1.3662,1.373,1.3517
"58",2009-03-23,1.363,1.3632,1.3737,1.3487
"59",2009-03-24,1.346,1.3622,1.3678,1.3432
"60",2009-03-25,1.3586,1.3474,1.3653,1.3419
"61",2009-03-26,1.3534,1.3588,1.364,1.3494
"62",2009-03-27,1.3301,1.3527,1.3594,1.3258
"63",2009-03-30,1.3207,1.3225,1.3286,1.3112
"64",2009-03-31,1.3251,1.3202,1.3343,1.3173
"65",2009-04-01,1.3232,1.3247,1.3287,1.3167
"66",2009-04-02,1.3463,1.3227,1.3518,1.3222
"67",2009-04-03,1.3483,1.346,1.3498,1.3365
"68",2009-04-06,1.3407,1.351,1.3582,1.3357
"69",2009-04-07,1.3268,1.3395,1.3408,1.3226
"70",2009-04-08,1.326,1.3267,1.3311,1.3146
"71",2009-04-09,1.3165,1.3265,1.3336,1.3125
"72",2009-04-10,1.3188,1.3167,1.319,1.3091
"73",2009-04-13,1.3365,1.3189,1.3393,1.3127
"74",2009-04-14,1.3255,1.3369,1.3383,1.3228
"75",2009-04-15,1.322,1.3259,1.3297,1.3146
"76",2009-04-16,1.3179,1.3211,1.3268,1.3126
"77",2009-04-17,1.3041,1.3185,1.32,1.3019
"78",2009-04-20,1.2916,1.3046,1.3049,1.2884
"79",2009-04-21,1.2935,1.2922,1.2995,1.2898
"80",2009-04-22,1.2999,1.2948,1.3038,1.2885
"81",2009-04-23,1.3147,1.2994,1.3161,1.2979
"82",2009-04-24,1.3255,1.3139,1.3304,1.3114
"83",2009-04-27,1.3019,1.3241,1.3246,1.2998
"84",2009-04-28,1.3146,1.302,1.3168,1.2964
"85",2009-04-29,1.3266,1.314,1.3342,1.3121
"86",2009-04-30,1.3226,1.3251,1.3384,1.319
"87",2009-05-01,1.3266,1.3228,1.333,1.3219
"88",2009-05-04,1.3405,1.3288,1.3428,1.3212
"89",2009-05-05,1.3323,1.3409,1.3438,1.3281
"90",2009-05-06,1.3319,1.3306,1.3375,1.3247
"91",2009-05-07,1.3399,1.3308,1.3471,1.325
"92",2009-05-08,1.3647,1.339,1.3651,1.334
"93",2009-05-11,1.3575,1.3647,1.3668,1.3554
"94",2009-05-12,1.3644,1.3571,1.3707,1.3563
"95",2009-05-13,1.3599,1.3643,1.3722,1.3565
"96",2009-05-14,1.3634,1.3596,1.3664,1.3523
"97",2009-05-15,1.3496,1.3637,1.3653,1.3464
"98",2009-05-18,1.3557,1.3486,1.3565,1.3422
"99",2009-05-19,1.3625,1.3555,1.367,1.3531
"100",2009-05-20,1.3771,1.3626,1.383,1.3582
"101",2009-05-21,1.3893,1.3761,1.3925,1.3727
"102",2009-05-22,1.3994,1.3895,1.4053,1.3894
"103",2009-05-25,1.4009,1.4036,1.4038,1.396
"104",2009-05-26,1.3991,1.4011,1.4024,1.3858
"105",2009-05-27,1.3836,1.3988,1.4002,1.3823
"106",2009-05-28,1.3937,1.3832,1.3982,1.379
"107",2009-05-29,1.4154,1.3937,1.4171,1.3926
"108",2009-06-01,1.4165,1.4123,1.4247,1.4099
"109",2009-06-02,1.4305,1.4149,1.4334,1.4102
"110",2009-06-03,1.4152,1.431,1.4339,1.4108
"111",2009-06-04,1.4188,1.4146,1.4242,1.4068
"112",2009-06-05,1.3975,1.4178,1.4269,1.3933
"113",2009-06-08,1.3898,1.3945,1.4004,1.3806
"114",2009-06-09,1.4066,1.3895,1.4101,1.3851
"115",2009-06-10,1.3967,1.4068,1.4146,1.3914
"116",2009-06-11,1.4106,1.3963,1.4179,1.3941
"117",2009-06-12,1.4024,1.4101,1.4131,1.3937
"118",2009-06-15,1.3792,1.3989,1.4004,1.3756
"119",2009-06-16,1.3836,1.3788,1.3933,1.3748
"120",2009-06-17,1.3942,1.3836,1.3986,1.3807
"121",2009-06-18,1.3906,1.3944,1.4004,1.3872
"122",2009-06-19,1.3943,1.3905,1.4014,1.3884
"123",2009-06-22,1.3862,1.3952,1.3954,1.3826
"124",2009-06-23,1.4079,1.386,1.4108,1.3828
"125",2009-06-24,1.3926,1.4077,1.414,1.3888
"126",2009-06-25,1.3988,1.3936,1.4016,1.389
"127",2009-06-26,1.4053,1.3994,1.412,1.3983
"128",2009-06-29,1.4076,1.4063,1.4104,1.3982
"129",2009-06-30,1.4036,1.408,1.4154,1.4002
"130",2009-07-01,1.4152,1.4034,1.4203,1.4001
"131",2009-07-02,1.3941,1.415,1.4156,1.3929
"132",2009-07-03,1.3964,1.3938,1.403,1.3937
"133",2009-07-06,1.3975,1.3956,1.4,1.3876
"134",2009-07-07,1.3922,1.3978,1.4053,1.3902
"135",2009-07-08,1.3877,1.3918,1.3939,1.3831
"136",2009-07-09,1.4026,1.3874,1.4074,1.3857
"137",2009-07-10,1.3933,1.4024,1.4033,1.3879
"138",2009-07-13,1.3979,1.3946,1.4002,1.3897
"139",2009-07-14,1.397,1.3981,1.4017,1.3911
"140",2009-07-15,1.4106,1.3969,1.4135,1.3962
"141",2009-07-16,1.4148,1.4102,1.4167,1.4055
"142",2009-07-17,1.4099,1.4145,1.415,1.4063
"143",2009-07-20,1.4228,1.4116,1.4251,1.4109
"144",2009-07-21,1.4213,1.4223,1.4278,1.4162
"145",2009-07-22,1.4211,1.422,1.426,1.4155
"146",2009-07-23,1.416,1.4206,1.4292,1.4119
"147",2009-07-24,1.4205,1.416,1.4256,1.4136
"148",2009-07-27,1.4245,1.4226,1.4301,1.4171
"149",2009-07-28,1.4177,1.4242,1.4303,1.4127
"150",2009-07-29,1.4037,1.4174,1.4197,1.4007
"151",2009-07-30,1.4074,1.4036,1.4097,1.4007
"152",2009-07-31,1.425,1.4067,1.4282,1.4065
"153",2009-08-03,1.4418,1.4268,1.4447,1.4206
"154",2009-08-04,1.44,1.4417,1.4434,1.4367
"155",2009-08-05,1.4412,1.4394,1.4449,1.4357
"156",2009-08-06,1.4348,1.4416,1.4433,1.4329
"157",2009-08-07,1.4188,1.4356,1.4417,1.4155
"158",2009-08-10,1.4146,1.4175,1.4219,1.4103
"159",2009-08-11,1.4146,1.4146,1.4186,1.411
"160",2009-08-12,1.4203,1.4148,1.4248,1.4084
"161",2009-08-13,1.4289,1.4204,1.433,1.4202
"162",2009-08-14,1.4205,1.4283,1.4309,1.4161
"163",2009-08-17,1.4078,1.4186,1.4194,1.4045
"164",2009-08-18,1.4133,1.4074,1.4156,1.4067
"165",2009-08-19,1.4236,1.4133,1.4269,1.4083
"166",2009-08-20,1.425,1.4234,1.4278,1.4201
"167",2009-08-21,1.4323,1.4249,1.4378,1.421
"168",2009-08-24,1.4303,1.4344,1.4362,1.4281
"169",2009-08-25,1.4298,1.4299,1.4364,1.4254
"170",2009-08-26,1.425,1.4303,1.4351,1.4206
"171",2009-08-27,1.4351,1.4244,1.4405,1.4218
"172",2009-08-28,1.4299,1.4346,1.4391,1.4282
"173",2009-08-31,1.4331,1.4306,1.4369,1.4255
"174",2009-09-01,1.4221,1.4332,1.4379,1.4177
"175",2009-09-02,1.4264,1.4217,1.4296,1.4191
"176",2009-09-03,1.4254,1.4265,1.435,1.4236
"177",2009-09-04,1.4293,1.426,1.433,1.4191
"178",2009-09-07,1.4335,1.431,1.4362,1.4301
"179",2009-09-08,1.4485,1.4335,1.4538,1.4329
"180",2009-09-09,1.4561,1.4488,1.4602,1.4465
"181",2009-09-10,1.4579,1.4571,1.4615,1.4501
"182",2009-09-11,1.457,1.4577,1.4637,1.4555
"183",2009-09-14,1.4624,1.4596,1.4653,1.4515
"184",2009-09-15,1.4661,1.4629,1.4688,1.4561
"185",2009-09-16,1.4712,1.4658,1.4738,1.4642
"186",2009-09-17,1.4739,1.4707,1.4768,1.4686
"187",2009-09-18,1.471,1.4744,1.4747,1.4648
"188",2009-09-21,1.4675,1.4689,1.4714,1.4607
"189",2009-09-22,1.479,1.4679,1.4825,1.4677
"190",2009-09-23,1.4731,1.479,1.4844,1.4725
"191",2009-09-24,1.4661,1.471,1.4806,1.4628
"192",2009-09-25,1.4688,1.4664,1.4726,1.4614
"193",2009-09-28,1.4621,1.4699,1.4722,1.456
"194",2009-09-29,1.4585,1.4619,1.4646,1.4526
"195",2009-09-30,1.4636,1.4583,1.4674,1.4575
"196",2009-10-01,1.4533,1.4638,1.467,1.4518
"197",2009-10-02,1.4572,1.4534,1.465,1.4482
"198",2009-10-05,1.465,1.4592,1.4671,1.4581
"199",2009-10-06,1.4718,1.4648,1.4766,1.4646
"200",2009-10-07,1.4688,1.4718,1.4739,1.4652
"201",2009-10-08,1.479,1.4688,1.4817,1.468
"202",2009-10-09,1.473,1.4794,1.4798,1.4675
"203",2009-10-12,1.4773,1.4724,1.4815,1.4678
"204",2009-10-13,1.4859,1.4781,1.4878,1.476
"205",2009-10-14,1.4926,1.4854,1.4948,1.4839
"206",2009-10-15,1.4945,1.4935,1.4968,1.4842
"207",2009-10-16,1.4906,1.4945,1.497,1.4848
"208",2009-10-19,1.4964,1.4893,1.4979,1.4829
"209",2009-10-20,1.4939,1.4973,1.4994,1.4882
"210",2009-10-21,1.501,1.4934,1.5048,1.4888
"211",2009-10-22,1.5023,1.5,1.504,1.4943
"212",2009-10-23,1.5003,1.5024,1.5063,1.4987
"213",2009-10-26,1.487,1.5,1.5063,1.4844
